tab	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
48.5	49.0	48.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	45.35	44.093705	Basalt	Absaroka volcanics	Outcrop	-108.08	-111.33	North American Plate	11.1	10.05	-83.4	358.6	19.0	Absaroka volcanics pole 1	6:8:39:40:51:48:31:32:14:12:11:10:9:4:5:44:3:1:16
48.5	49.0	48.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	45.35	44.093705	Basalt	Absaroka volcanics	Outcrop	-108.08	-111.33	North American Plate	58.4	5.53	-65.6	274.6	3.0	Absaroka volcanics pole 2	Lower Flow mean:Middle Flow mean:Upper Flow mean
49.5	54.0	45.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Sedimentary:Igneous:Extrusive	45.35	44.093705	Basalt:Sandstone	Absaroka volcanics	Outcrop	-108.08	-111.33	North American Plate	8.6	13.88	-80.8	326.6	22.0	Absaroka volcanics pole 3	389+390 mean:615:395:394:396:AS1:AS2:AS3:AS4:618+620 mean:622:558:557:448+621 mean:628:635:617+624+625 mean:627:616:923:Independence stock mean:I5
49.5	48.0	45.0	Ma		Sedimentary:Igneous:Extrusive	45.4722	43.5546	Basalt:Sandstone	Absaroka volcanics	Outcrop	-108.08	-111.33	North American Plate							6:7*:8:33*:34*:35*:36*:37*:38*:39:40:41*:51:50*:49*:48:47*:31:32:14:13*:12:11:10:9:4b:4a:4:5b:5a:5:44:43*:3b:3a:3:2b:2a:2*:1:16b:16a:16:15*:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:Lower Flow mean:27:28:29:30:31:32:33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48:49:50:51:52:55:Middle Flow mean:57:58:59:60:61:62:Upper Flow mean:389:390:389+390 mean:615:395:394:396:AS1:AS2:AS3:AS4:618:620:618+620 mean:622:558:557:448:621:448+621 mean:628:635:617:624:625:617+624+625 mean:627:616:HY-1:923:I1:I2:I3:I4:I6:I7:I8:Independence stock mean:I5
42.0	43.5	40.5	Ma	{'uncer_dist': 'normal', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Intrusive	60.3	60.2	Syenite	Beaver River intrusions	Outcrop	234.8	234.5	North American Plate	4.8	44.97	-79.3	327.7	21.0	Beaver River intrusions pole	01 LCE:02 LCE:03 LCE:04 LCE:05 LCE:06 LCE:07 LCE:08 LCE:10 LCW:11 LCW:12 LCW:14 LCW:16 LCW:18 BR:19 BR:20 BR:21 BR:22 BR:23 BR:24 BR:26 BR
42.0	41.8	40.5	Ma		Igneous:Intrusive	60.3	60.2	Syenite	Beaver River intrusions	Outcrop	234.8	234.5	North American Plate							01 LCE:02 LCE:03 LCE:04 LCE:05 LCE:06 LCE:07 LCE:08 LCE:09 LCW*:10 LCW:11 LCW:12 LCW:13 LCW*:14 LCW:16 LCW:17 LCW*:18 BR:19 BR:20 BR:21 BR:22 BR:23 BR:24 BR:25 BR*:26 BR
55.8885	59.237	52.54	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Sedimentary	44.69736	44.16568	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	Outcrop	-107.82779	-108.35592	North American Plate	6.0	10.64	-81.5	2.8	59.0	Bighorn Basin sediments pole	BH0401α:BH0403α:BH0404α:BH0405α:BH0407α:BH0408α:BH0410α:BH02015α:BH0415α:BH0416α:BH0417α:BH0419α:BH0420α:BH0421α:BH0422α:BH02034α:BH02035α:BH02037α:BH02038α:BH02039α:BH02040α:BH02041α:BH02042α:BH02043α:BH02044α:BH0423α:BH0424α:BH0425α:BH0426a:BH01025α:BH01027α:BH01028α:BH01031α:BH01038α:BH01039α:BH01040α:BH01043α:BH01045α:BH01046α:BH01049α:BH01050α:BH01051α:BH01053α:BH01055α:BH01064α:BH01073α:BH01076α:BH01077α:BH01080α:BH01091α:BH01092α:BH01022α:BH01023α:BH02054α:BH01096α:BH01097α:BH02060α:BH02050α:BH02051α
55.8885	57.101	52.54	Ma		Sedimentary	44.69736	44.16426	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	Outcrop	-107.82779	-108.35602	North American Plate							BH0414β:BH0401α:BH0403α:BH0404α:BH0405α:BH0407α:BH0408α:BH0410α:BH0412β:BH02015α:BH02016β:BH02019β:BH02018β:BH02020β:BH02021β:BH0415α:BH0416α:BH0417α:BH0418β:BH0419α:BH0420α:BH0421α:BH0422α:BH02034α:BH02035α:BH02037α:BH02038α:BH02039α:BH02040α:BH02041α:BH02042α:BH02043α:BH02044α:BH0423α:BH0424α:BH0425α:BH0426a:BH0427β:BH0433β:BH01025α:BH01027α:BH01028α:BH01031α:BH01033β:BH01036β:BH01037β:BH01038α:BH01039α:BH01040α:BH01041β:BH01042β:BH01043α:BH01045α:BH01046α:BH01049α:BH01050α:BH01051α:BH01052β:BH01053α:BH01054β:BH01055α:BH01056β:BH01057β:BH01061β:BH01064α:BH01066β:BH01068β:BH01071β:BH01073α:BH01075β:BH01076α:BH01077α:BH01079β:BH01080α:BH01081β:BH01086β:BH01089β:BH01090β:BH01091α:BH01092α:BH01001β:BH01011β:BH01018β:BH01019β:BH01022α:BH01023α:BH01101β:BH02054α:BH01096α:BH01097α:BH02060α:BH02050α:BH02051α
0.767	0.7679	0.7661	Ma	{'uncer_dist': 'normal', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	37.67	37.67	Rhyolite	Bishop tuff	Outcrop	241.25	241.25	North American Plate	1.9	127.0	-80.2	314.3	47.0	Bishop tuff pole	Bishop Tuff mean
0.767	0.7661	0.7661	Ma		Igneous:Extrusive	37.67	37.67	Rhyolite	Bishop tuff	Outcrop	241.25	241.25	North American Plate							B1:B2:B3:B4:B5:B6:B7:B8:B9:B10:B11:B12:B13:B14:B15:B16:B17:B18:B19:B20:B21:B23:B24:B25 (0 m):B25 (3 m):B25 (6 m):B25 (9 m):B25 (12 m):B25 (15 m):B25 (18 m):B25 (21 m):B25 (24 m):B25 (27 m):B25 (30 m):B25 (33 m):B26:B27:C001:C041:C051:C071:C615:C621:C530:C538:Xen:LT:Bishop Tuff mean
50.95	55.5	46.4	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Intrusive	46.7	46.1	Rhyolite	Bitterroot Dome intrusions	Outcrop	245.4	244.8	North American Plate	7.9	34.08	-72.2	344.4	11.0	Bitterroot Dome intrusions pole	B01:B02:B03:B05:B06:B09:B10:B11:B12:B15:B18
50.95	46.4	46.4	Ma		Igneous:Intrusive	46.7	45.8	Rhyolite	Bitterroot Dome intrusions	Outcrop	246.3	244.8	North American Plate							B01:B02:B03:B05:B06:B09:B09a:B09b:B10:B11:B11a:B11b:B12:B12a:B12b:B15:B15a:B15b:B18:S03:S04:S07:S10:S12:S13:S16:S17
2.255	4.51	0.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	22.82	18.976	Andesite	Central Mexico Plio-Pleistocene	Outcrop	-99.25	-101.914	North American Plate	5.3	61.07	-88.5	155.0	13.0	Central Mexico Plio-Pleistocene pole	6:8:9:10:11:12:13:14:15:17:18:19:20
2.665	3.77	0.0	Ma		Igneous:Extrusive	22.837	18.976	Andesite	Central Mexico Plio-Pleistocene	Outcrop	-99.25	-101.914	North American Plate							2:3:4:6:8:9:10:11:12:13:14:15:17:18:19:20
1.105	1.37	0.8400000000000001	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	39.1973357597122	38.833379718284	Andesite:Dacite	Clear Lake volcanic field	Outcrop	-122.420430653059	-122.800686012407	North American Plate	60.0	5.3	-84.9	298.9	3.0	Clear Lake volcanic field pole	dc-1:aps mean:ag
0.7274999999999999	1.37	0.065	Ma		Igneous:Extrusive	40.7669447517678	38.2471654561233	Andesite:Dacite:Rhyolite	Clear Lake volcanic field	Outcrop	122.7	-124.44828385203	North American Plate							dcv-1:dcv-2:dcv-3:dc-1:dc-2:ra-1:ra-2:ra-3:ra-4:ra-5:ra-6:rb:dh:dsb:r-1:r-2:ds:dhm-1:dhm-2:dhm-3:dhc:dhf:aps-1:aps-2:aps-3:aps mean:dl:ast-1:ast-2:ac:aph:asc:db-1:db-2:asf-1:asf-2:asf-3:ag:ra-7
1.07	1.31	0.8300000000000001	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	35.9859433564612	35.9029698869511	Basalt	Coso Range volcanics	Outcrop	-117.664527627671	-117.893496569538	North American Plate	66.8	16.17	-73.8	249.3	2.0	Coso Range volcanics pole	32:33
1.07	1.0	0.79	Ma		Igneous:Extrusive	36.0504507617625	35.9	Basalt:Rhyolite	Coso Range volcanics	Outcrop	-117.3	-117.893496569538	North American Plate							58:35:32:33
22.65	26.4	18.9	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	53.6722586348384	53.6376229271893	Basalt	Dinan Bay lavas	Outcrop	-126.656089183881	-126.697544799636	North American Plate	9.8	18.74	-83.3	324.3	13.0	Dinan Bay lavas pole	46:47:48:49:51:52:53:54:55:56:57:58:59
22.65	18.9	18.9	Ma		Igneous:Extrusive	53.6722586348384	53.6376229271893	Basalt	Dinan Bay lavas	Outcrop	-126.656089183881	-126.697544799636	North American Plate							46:47:48:49:51:52:53:54:55:56:57:58:59
