tab	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1.0, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.2	343.4	64.3	58.3	5.0	n	100	Sylvan Pass	Igneous:Extrusive	Lava	44.3478	Basalt	Absaroka volcanics	-111.0455	LP-DIR-AF	6					78.1999797181933	173.30045501927293
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1.0, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	23.3	336.7	-87.2	9.0	4.0	i	100	Sylvan Pass	Igneous:Extrusive	Lava	44.4684	Basalt	Absaroka volcanics	-109.9522	LP-DIR-AF	7*					-39.2999677140785	72.90006913819832
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1.0, 'ordering': 3.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.9	121.8	-73.1	165.6	5.0	r	100	Sylvan Pass	Igneous:Extrusive	Lava	44.55	Basalt	Absaroka volcanics	-110.05	LP-DIR-AF	8					-52.61142709420349	23.32882270857631
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	70.89175569585666	91.0	74.1	1.3	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.6606	Basalt	Absaroka volcanics	-109.51	LP-DIR-AF	33*					37.199954306551085	288.9063060991158
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	31.4	60.4	48.8	6.6	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.6	Basalt	Absaroka volcanics	-109.54	LP-DIR-AF	34*					40.816093790255465	336.5225236543873
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 3.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	60.246407607670925	101.4	-23.6	1.8	3.0	i	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.46	Basalt	Absaroka volcanics	-109.6	LP-DIR-AF	35*					-16.696502832291678	341.4210631216193
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 4.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	43.2	288.3	60.7	3.5	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.46	Basalt	Absaroka volcanics	-109.6	LP-DIR-AF	36*					39.29161167559343	184.0616376416543
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 5.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	13.6	18.3	51.4	53.3	2.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.459	Basalt	Absaroka volcanics	-109.2627	LP-DIR-AF	37*					71.10005551510513	15.499778648239786
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 6.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	68.31300510639733	172.7	35.7	1.4	3.0	i	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.59	Basalt	Absaroka volcanics	-109.501	LP-DIR-AF	38*					-25.30255094468466	258.0997980924213
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 7.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	12.4	8.8	57.2	42.6	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.55	Basalt	Absaroka volcanics	-109.2	LP-DIR-AF	39					80.5582287312435	23.338312981820422
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 8.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	12.6	319.5	36.8	41.0	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.75	Basalt	Absaroka volcanics	-109.34	LP-DIR-AF	40					48.80294591030184	138.10854718702495
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 9.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	23.2	170.9	86.1	12.1	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.47	Basalt	Absaroka volcanics	-109.52	LP-DIR-AF	41*					36.79257431871763	252.0089040507232
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 10.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.6	333.1	77.3	85.7	4.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.49	Basalt	Absaroka volcanics	-109.53	LP-DIR-AF	51					64.19792559077477	225.1850520897532
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 11.0, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.4	344.0	82.4	501.9	2.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.55	Basalt	Absaroka volcanics	-109.53	LP-DIR-AF	50*					58.697574138125766	242.60799387999384
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 12.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	25.7	34.1	61.0	7.4	4.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	45.16	Basalt	Absaroka volcanics	-110.93	LP-DIR-AF	49*					65.2991871653972	334.0868244094156
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 13.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	13.6	311.4	45.5	35.2	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.36	Basalt	Absaroka volcanics	-109.7	LP-DIR-AF	48					47.6002737330862	152.81224467547318
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 14.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	29.9	27.6	60.2	7.3	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.36	Basalt	Absaroka volcanics	-108.6	LP-DIR-AF	47*					69.57260539655707	340.8318621499972
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 3.0, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.7	34.6	60.1	145.0	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	45.35	Basalt	Absaroka volcanics	-111.33	LP-DIR-AF	31					64.59983409038237	336.09967730903435
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 3.0, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	9.1	10.2	39.4	78.1	3.0	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.49	Basalt	Absaroka volcanics	-109.44	LP-DIR-AF	32					66.30434604084547	46.50555218453563
