tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
48.5	49.0	48.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	45.35	44.093705	Basalt	Absaroka volcanics	Outcrop	251.92000000000002	248.67000000000002	North American Plate	11.1	10.05	-83.4	358.6	19	Absaroka volcanics pole 1	6:8:39:40:51:48:31:32:14:12:11:10:9:4:5:44:3:1:16
48.5	49.0	48.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	45.35	44.093705	Basalt	Absaroka volcanics	Outcrop	251.92000000000002	248.67000000000002	North American Plate	58.4	5.53	-65.6	274.6	3	Absaroka volcanics pole 2	Lower Flow mean:Middle Flow mean:Upper Flow mean
49.5	54.0	45.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive:Sedimentary	45.35	44.093705	Sandstone:Basalt	Absaroka volcanics	Outcrop	251.92000000000002	248.67000000000002	North American Plate	8.6	13.88	-80.8	326.6	22	Absaroka volcanics pole 3	389+390 mean:615:395:394:396:AS1:AS2:AS3:AS4:618+620 mean:622:558:557:448+621 mean:628:635:617+624+625 mean:627:616:923:Independence stock mean:I5
49.5	48.0	45.0	Ma		Igneous:Extrusive:Sedimentary	45.4722	43.5546	Sandstone:Basalt	Absaroka volcanics	Outcrop	251.92000000000002	248.67000000000002	North American Plate							6:7*:8:33*:34*:35*:36*:37*:38*:39:40:41*:51:50*:49*:48:47*:31:32:14:13*:12:11:10:9:4b:4a:4:5b:5a:5:44:43*:3b:3a:3:2b:2a:2*:1:16b:16a:16:15*:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:Lower Flow mean:27:28:29:30:31:32:33:34:35:36:37:38:39:40:41:42:43:44:45:46:47:48:49:50:51:52:55:Middle Flow mean:57:58:59:60:61:62:Upper Flow mean:389:390:389+390 mean:615:395:394:396:AS1:AS2:AS3:AS4:618:620:618+620 mean:622:558:557:448:621:448+621 mean:628:635:617:624:625:617+624+625 mean:627:616:HY-1:923:I1:I2:I3:I4:I6:I7:I8:Independence stock mean:I5
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1.0, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.2	343.4	64.3	58.3	5	n	100	Sylvan Pass	Igneous:Extrusive	Lava	44.3478	Basalt	Absaroka volcanics	248.9545	LP-DIR-AF	6					78.1999797181933	173.30045501927293
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1.0, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	23.3	336.7	-87.2	9.0	4	i	100	Sylvan Pass	Igneous:Extrusive	Lava	44.4684	Basalt	Absaroka volcanics	250.0478	LP-DIR-AF	7*					-39.2999677140785	72.90006913819832
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1.0, 'ordering': 3.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.9	121.8	-73.1	165.6	5	r	100	Sylvan Pass	Igneous:Extrusive	Lava	44.55	Basalt	Absaroka volcanics	249.95	LP-DIR-AF	8					-52.61142709420349	23.32882270857631
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	70.89175569585666	91.0	74.1	1.3	3	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.6606	Basalt	Absaroka volcanics	250.49	LP-DIR-AF	33*					37.199954306551085	288.9063060991158
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	31.4	60.4	48.8	6.6	3	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.6	Basalt	Absaroka volcanics	250.45999999999998	LP-DIR-AF	34*					40.816093790255465	336.5225236543873
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 3.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	60.246407607670925	101.4	-23.6	1.8	3	i	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.46	Basalt	Absaroka volcanics	250.4	LP-DIR-AF	35*					-16.696502832291678	341.4210631216193
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 4.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	43.2	288.3	60.7	3.5	3	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.46	Basalt	Absaroka volcanics	250.4	LP-DIR-AF	36*					39.29161167559343	184.0616376416543
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 5.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	13.6	18.3	51.4	53.3	2	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.459	Basalt	Absaroka volcanics	250.7373	LP-DIR-AF	37*					71.10005551510513	15.499778648239786
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 6.0, 'synch_unit': 0, 'rej_crit': [3, 4], 'pmag_comments': 'thought to be contaminated by lightning', 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	68.31300510639733	172.7	35.7	1.4	3	i	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.59	Basalt	Absaroka volcanics	250.499	LP-DIR-AF	38*					-25.30255094468466	258.0997980924213
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 7.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	12.4	8.8	57.2	42.6	3	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.55	Basalt	Absaroka volcanics	250.8	LP-DIR-AF	39					80.5582287312435	23.338312981820422
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 8.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	12.6	319.5	36.8	41.0	3	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.75	Basalt	Absaroka volcanics	250.66	LP-DIR-AF	40					48.80294591030184	138.10854718702495
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 9.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	23.2	170.9	86.1	12.1	3	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.47	Basalt	Absaroka volcanics	250.48000000000002	LP-DIR-AF	41*					36.79257431871763	252.0089040507232
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 10.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.6	333.1	77.3	85.7	4	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.49	Basalt	Absaroka volcanics	250.47	LP-DIR-AF	51					64.19792559077477	225.1850520897532
48.5	49.0	48.0	Ma	10.1029/JB082i020p03039:10.1016/j.tecto.2009.12.025	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2.0, 'ordering': 11.0, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': nan, 'age_comments': 'crude age range provided by Harlan and Morgan (2010) without specific error limits', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.4	344.0	82.4	501.9	2	n	100	Jim Mountain to Trout Peak	Igneous:Extrusive	Lava	44.55	Basalt	Absaroka volcanics	250.47	LP-DIR-AF	50*					58.697574138125766	242.60799387999384
