tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
42.0	43.5	40.5	Ma	{'uncer_dist': 'normal'}	Igneous:Intrusive	60.3	60.2	Syenite	Beaver River intrusions	Outcrop	234.8	234.5	North American Plate	4.79231159482962	44.97275626267796	-79.31324219108687	327.6698411828201	21	Beaver River intrusions pole	01 LCE:02 LCE:03 LCE:04 LCE:05 LCE:06 LCE:07 LCE:08 LCE:10 LCW:11 LCW:12 LCW:14 LCW:16 LCW:18 BR:19 BR:20 BR:21 BR:22 BR:23 BR:24 BR:26 BR
42.0	41.8	40.5	Ma		Igneous:Intrusive	60.3	60.2	Syenite	Beaver River intrusions	Outcrop	234.8	234.5	North American Plate							01 LCE:02 LCE:03 LCE:04 LCE:05 LCE:06 LCE:07 LCE:08 LCE:09 LCW*:10 LCW:11 LCW:12 LCW:13 LCW*:14 LCW:16 LCW:17 LCW*:18 BR:19 BR:20 BR:21 BR:22 BR:23 BR:24 BR:25 BR*:26 BR
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	5.1	175.9	-57.6	80.3	11	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	01 LCE					-67.88113154122658	243.17789034296607
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	3.1	175.7	-74.9	177.6	13	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	02 LCE					-87.45908822505316	1.1639140623196202
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	9.6	159.0	-70.9	26.3	1	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	03 LCE					-77.83484303654791	310.12083152910475
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	6.4	135.0	-74.2	58.4	1	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	04 LCE					-68.17031654440788	345.1110284639936
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	5.5	153.7	-75.0	70.0	11	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	05 LCE					-77.24016365137284	343.2367161388757
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	3.3	179.3	-69.3	172.2	12	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	06 LCE					-82.71020390185176	237.9279325773333
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	5.7	172.2	-70.4	64.1	11	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	07 LCE					-82.96057963505974	274.5712854907531
42.1	43.5	40.7	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	6.7	175.6	-72.1	52.3	1	r	Larson Creek East pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.6	LP-DIR-AF: LP-DIR-T	08 LCE					-86.179577504536	273.2660315614409
41.3	42.1	40.5	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [3, 9], 'pmag_comments': 'site rejected due to scattered, transitional directions. slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	13.2	313.8	-62.3	11.8	12	i	Larson Creek West pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.5	LP-DIR-AF: LP-DIR-T	09 LCW*					-20.448320279776485	88.40436263757327
41.3	42.1	40.5	Ma	10.1139/e03-047	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 0, 'rot_area': 0, 'strat_group': nan, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 2.', 'age_comments': 'Quoted Ar-Ar ages are unpublished and attributed to personal communication.'}	5.1	166.5	-71.7	81.3	11	i	Larson Creek West pluton	Igneous:Intrusive	Pluton	60.2	Syenite	Beaver River intrusions	234.5	LP-DIR-AF: LP-DIR-T	10 LCW					-82.03810320726296	302.89867415636326
