tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
55.8885	59.237	52.54	Ma	{'uncer_dist': 'uniform'}	Sedimentary	44.69736	44.16568	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	Outcrop	252.17221	251.64408	North American Plate	5.954671948866425	10.640569550647998	-81.54904237017679	2.761737505117778	59	Bighorn Basin sediments pole	BH0401α:BH0403α:BH0404α:BH0405α:BH0407α:BH0408α:BH0410α:BH02015α:BH0415α:BH0416α:BH0417α:BH0419α:BH0420α:BH0421α:BH0422α:BH02034α:BH02035α:BH02037α:BH02038α:BH02039α:BH02040α:BH02041α:BH02042α:BH02043α:BH02044α:BH0423α:BH0424α:BH0425α:BH0426a:BH01025α:BH01027α:BH01028α:BH01031α:BH01038α:BH01039α:BH01040α:BH01043α:BH01045α:BH01046α:BH01049α:BH01050α:BH01051α:BH01053α:BH01055α:BH01064α:BH01073α:BH01076α:BH01077α:BH01080α:BH01091α:BH01092α:BH01022α:BH01023α:BH02054α:BH01096α:BH01097α:BH02060α:BH02050α:BH02051α
55.8885	57.101	52.54	Ma		Sedimentary	44.69736	44.16426	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	Outcrop	252.17221	251.64398	North American Plate							BH0414β:BH0401α:BH0403α:BH0404α:BH0405α:BH0407α:BH0408α:BH0410α:BH0412β:BH02015α:BH02016β:BH02019β:BH02018β:BH02020β:BH02021β:BH0415α:BH0416α:BH0417α:BH0418β:BH0419α:BH0420α:BH0421α:BH0422α:BH02034α:BH02035α:BH02037α:BH02038α:BH02039α:BH02040α:BH02041α:BH02042α:BH02043α:BH02044α:BH0423α:BH0424α:BH0425α:BH0426a:BH0427β:BH0433β:BH01025α:BH01027α:BH01028α:BH01031α:BH01033β:BH01036β:BH01037β:BH01038α:BH01039α:BH01040α:BH01041β:BH01042β:BH01043α:BH01045α:BH01046α:BH01049α:BH01050α:BH01051α:BH01052β:BH01053α:BH01054β:BH01055α:BH01056β:BH01057β:BH01061β:BH01064α:BH01066β:BH01068β:BH01071β:BH01073α:BH01075β:BH01076α:BH01077α:BH01079β:BH01080α:BH01081β:BH01086β:BH01089β:BH01090β:BH01091α:BH01092α:BH01001β:BH01011β:BH01018β:BH01019β:BH01022α:BH01023α:BH01101β:BH02054α:BH01096α:BH01097α:BH02060α:BH02050α:BH02051α
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [4], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	41.8	191.6	-59.9	9.8	3	r	Fort Union	Sedimentary	Sediment Layer	44.69721	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65416	LP-DIR-AF: LP-DIR-T	BH0414β					-80.63402360729377	182.32594413729797
58.169	59.237	57.101	Ma	10.1130/B26104.2	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	41.3	178.4	-42.1	10.0	3	r	Fort Union	Sedimentary	Sediment Layer	44.69736	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.6534	LP-DIR-AF: LP-DIR-T	BH0401α					-69.57385893095162	255.83450526213292
58.169	59.237	57.101	Ma	10.1130/B26104.3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 3.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	21.1	10.0	73.5	35.3	3	n	Fort Union	Sedimentary	Sediment Layer	44.69695	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65336000000002	LP-DIR-AF: LP-DIR-T	BH0403α					74.14223151830085	270.5527891405085
58.169	59.237	57.101	Ma	10.1130/B26104.4	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 4.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	38.4	29.7	80.4	11.4	3	n	Fort Union	Sedimentary	Sediment Layer	44.69677	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65349	LP-DIR-AF: LP-DIR-T	BH0404α					59.78270352158575	270.041895260005
58.169	59.237	57.101	Ma	10.1130/B26104.5	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 5.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	54.9	355.6	62.5	6.1	3	n	Fort Union	Sedimentary	Sediment Layer	44.69627	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65385	LP-DIR-AF: LP-DIR-T	BH0405α					86.73701519484995	148.08583196919687
58.169	59.237	57.101	Ma	10.1130/B26104.6	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 6.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	9.8	349.2	64.8	159.4	3	n	Fort Union	Sedimentary	Sediment Layer	44.69558	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65242999999998	LP-DIR-AF: LP-DIR-T	BH0407α					82.19497063555401	180.63006468218003
58.169	59.237	57.101	Ma	10.1130/B26104.7	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 7.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	18.2	11.5	55.4	46.9	3	n	Fort Union	Sedimentary	Sediment Layer	44.69559	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65253	LP-DIR-AF: LP-DIR-T	BH0408α					77.6278849402557	22.76558516752817
58.169	59.237	57.101	Ma	10.1130/B26104.8	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 8.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	23.0	328.7	57.7	29.7	3	n	Fort Union	Sedimentary	Sediment Layer	44.69464	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65233	LP-DIR-AF: LP-DIR-T	BH0410α					65.88276889996492	157.38925390929174
58.169	59.237	57.101	Ma	10.1130/B26104.9	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 9.0, 'synch_unit': 0, 'rej_crit': [4], 'pmag_comments': 'rejected because too many samples chracterized by great circle distribution', 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	53.4	125.6	-66.7	6.4	3	r	Fort Union	Sedimentary	Sediment Layer	44.6939	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.65377	LP-DIR-AF: LP-DIR-T	BH0412β					-53.413615529821946	8.743329510727413
58.169	59.237	57.101	Ma	10.1130/B26104.10	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 10.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n'}	33.4	142.9	-56.2	14.7	3	r	Fort Union	Sedimentary	Sediment Layer	44.69375	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	251.64785	LP-DIR-AF: LP-DIR-T	BH02015α					-61.06060231219937	338.79994400860744
