tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [4], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	41.8	191.6	-59.9	9.8	3	r	100	Fort Union	Sedimentary	Sediment Layer	44.69721	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34584	LP-DIR-AF: LP-DIR-T	BH0414β					-80.63402360729377	182.32594413729794
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	41.3	178.4	-42.1	10.0	3	r	100	Fort Union	Sedimentary	Sediment Layer	44.69736	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.3466	LP-DIR-AF: LP-DIR-T	BH0401α					-69.57385893095162	255.83450526213295
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 3.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	21.1	10.0	73.5	35.3	3	n	100	Fort Union	Sedimentary	Sediment Layer	44.69695	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34664	LP-DIR-AF: LP-DIR-T	BH0403α					74.14223151830085	270.5527891405085
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 4.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	38.4	29.7	80.4	11.4	3	n	100	Fort Union	Sedimentary	Sediment Layer	44.69677	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34651	LP-DIR-AF: LP-DIR-T	BH0404α					59.78270352158575	270.041895260005
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 5.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	54.9	355.6	62.5	6.1	3	n	100	Fort Union	Sedimentary	Sediment Layer	44.69627	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34615	LP-DIR-AF: LP-DIR-T	BH0405α					86.73701519484995	148.08583196919687
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 6.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	9.8	349.2	64.8	159.4	3	n	100	Fort Union	Sedimentary	Sediment Layer	44.69558	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34757	LP-DIR-AF: LP-DIR-T	BH0407α					82.19497063555401	180.63006468218003
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 7.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	18.2	11.5	55.4	46.9	3	n	100	Fort Union	Sedimentary	Sediment Layer	44.69559	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34747	LP-DIR-AF: LP-DIR-T	BH0408α					77.6278849402557	22.765585167528172
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 8.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	23.0	328.7	57.7	29.7	3	n	100	Fort Union	Sedimentary	Sediment Layer	44.69464	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34767	LP-DIR-AF: LP-DIR-T	BH0410α					65.88276889996492	157.38925390929174
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 9.0, 'synch_unit': 0, 'rej_crit': [4], 'pmag_comments': 'rejected because too many samples chracterized by great circle distribution', 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	53.4	125.6	-66.7	6.4	3	r	100	Fort Union	Sedimentary	Sediment Layer	44.6939	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.34623	LP-DIR-AF: LP-DIR-T	BH0412β					-53.413615529821946	8.743329510727413
58.169	59.237	57.101	Ma	10.1130/B26104.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 10.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Section correlated to magnetochrons C26n to C25n', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	33.4	142.9	-56.2	14.7	3	r	100	Fort Union	Sedimentary	Sediment Layer	44.69375	Mudstone: Siltstone: Sandstone	Bighorn Basin sediments	-108.35215	LP-DIR-AF: LP-DIR-T	BH02015α					-61.06060231219937	338.79994400860744
