tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
0.767	0.7679	0.7661	Ma	{'uncer_dist': 'normal'}	Igneous:Extrusive	37.67	37.67	Rhyolite	Bishop tuff	Outcrop	241.25	241.25	North American Plate	1.9	127.0	-80.1641158694752	314.2902519137969	47	Bishop tuff pole	Bishop Tuff mean
0.767	0.7661	0.7661	Ma		Igneous:Extrusive	37.67	37.67	Rhyolite	Bishop tuff	Outcrop	241.25	241.25	North American Plate							B1:B2:B3:B4:B5:B6:B7:B8:B9:B10:B11:B12:B13:B14:B15:B16:B17:B18:B19:B20:B21:B23:B24:B25 (0 m):B25 (3 m):B25 (6 m):B25 (9 m):B25 (12 m):B25 (15 m):B25 (18 m):B25 (21 m):B25 (24 m):B25 (27 m):B25 (30 m):B25 (33 m):B26:B27:C001:C041:C051:C071:C615:C621:C530:C538:Xen:LT:Bishop Tuff mean
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	8.9	352.8	56.4	75.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B1					84.23194886427707	146.41147116013266
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.2	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	6.9	342.6	61.0	123.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B2					75.97314885478566	174.88139444735532
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	3.8	343.7	59.6	405.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B3					77.06321212112252	168.6633689887878
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.4	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	3.6	330.0	55.8	465.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B4					66.1083235482178	157.31451837623783
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.5	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	3.7	331.1	58.5	419.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B5					67.40749786802652	164.16655644702638
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.6	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	6.2	336.9	58.0	153.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B6					71.85940825493888	161.5433528468709
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.7	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	2.4	340.5	57.8	1051.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B7					74.65517148250777	160.17379649043997
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.8	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	2.3	349.9	53.1	1111.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B8					80.87457955332924	128.2264586594211
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.9	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	3.5	345.5	54.6	673.0	4	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B9					78.06877781210243	143.3501889745975
0.767	0.7679	0.7661	Ma	10.1007/s004450050129:10.1130/G24017A.10	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'average slat/slon estimated from map in order to enable VGPs to be calculated', 'age_comments': nan}	2.5	334.9	48.1	916.0	5	n	Bishop Tuff	Igneous:Extrusive	Tuff	37.67	Rhyolite	Bishop tuff	241.25	LP-DIR-AF	B10					67.46077754896548	136.42079406424435
