tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	9.5	336.9	65.7	94.5	4		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.7	Rhyolite	Bitterroot Dome intrusions	245.4	LP-DIR-AF: LP-DIR-T	B01					74.3486452313526	168.3251707834595
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	11.9	342.8	66.9	60.4	4		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.7	Rhyolite	Bitterroot Dome intrusions	245.4	LP-DIR-AF: LP-DIR-T	B02					78.20126681010208	175.58538492564003
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.8	324.8	59.0	256.8	7		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.7	Rhyolite	Bitterroot Dome intrusions	245.4	LP-DIR-AF: LP-DIR-T	B03					63.67441844786403	153.01593368619305
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	11.1	331.4	59.2	48.6	5		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.7	Rhyolite	Bitterroot Dome intrusions	245.4	LP-DIR-AF: LP-DIR-T	B05					68.28452495456077	147.81582166553622
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	10.3	327.1	50.9	144.3	3		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.7	Rhyolite	Bitterroot Dome intrusions	245.4	LP-DIR-AF: LP-DIR-T	B06					60.6685303307263	136.20475459090625
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 'M1', 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	35.9	171.7	-64.6	50.5	2		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.1	Rhyolite	Bitterroot Dome intrusions	244.8	LP-DIR-AF: LP-DIR-T	B09					-84.25473274874774	341.57381282847365
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	19.1	166.5	-72.5	172.9	2		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.1	Rhyolite	Bitterroot Dome intrusions	244.8	LP-DIR-AF: LP-DIR-T	B09a					-75.72624278268351	34.46614983416434
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	16.5	174.5	-56.7	231.4	2		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.1	Rhyolite	Bitterroot Dome intrusions	244.8	LP-DIR-AF: LP-DIR-T	B09b					-80.27446092974088	271.6377465153173
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	17.9	344.0	71.4	48.5	3		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.1	Rhyolite	Bitterroot Dome intrusions	244.8	LP-DIR-AF: LP-DIR-T	B10					75.91614839318324	205.5665919531648
50.95	55.5	46.4	Ma	10.1029/91TC02889:10.1130/0091-7613(1993)021<0161:AOTEIT>2.3.CO;2:https://scholarworks.umt.edu/etd/4671/	{'2sig_min': 0.8, '2sig_max': 0.5, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 'M2', 'rej_crit': [], 'pmag_comments': "Results these Bitterroot intrusions are interpreted to have suffered a few degrees of vertical axis rotation (on the basis of comparisons with 'reference' directions of Diehl et al. (1983)), but less severe than those from Skalkaho intrusions.", 'age_comments': 'min age comes from Ar-Ar age from Hodges and Applegate (1993); max age comes from Ar-Ar age from Simonsen (1997). See Simonsen (1997) for additional Ar-Ar constraints from these dikes (which suggest they are mostly ~52 Ma).', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	47.3	328.1	78.1	30.0	2		100	Bitterroot Dome intusions	Igneous:Intrusive	Volcanic Dike	46.1	Rhyolite	Bitterroot Dome intrusions	244.9	LP-DIR-AF: LP-DIR-T	B11					63.2041521001892	217.81860048663816
