tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
1.105	1.37	0.8400000000000001	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	39.1973357597122	38.833379718284	Dacite:Andesite	Clear Lake volcanic field	Outcrop	237.579569346941	237.199313987593	North American Plate	60.0	5.3	-84.9	298.9	3	Clear Lake volcanic field pole	dc-1:aps mean:ag
0.7274999999999999	1.37	0.065	Ma		Igneous:Extrusive	40.7669447517678	38.2471654561233	Dacite:Rhyolite:Andesite	Clear Lake volcanic field	Outcrop	122.7	235.55171614797	North American Plate							dcv-1:dcv-2:dcv-3:dc-1:dc-2:ra-1:ra-2:ra-3:ra-4:ra-5:ra-6:rb:dh:dsb:r-1:r-2:ds:dhm-1:dhm-2:dhm-3:dhc:dhf:aps-1:aps-2:aps-3:aps mean:dl:ast-1:ast-2:ac:aph:asc:db-1:db-2:asf-1:asf-2:asf-3:ag:ra-7
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
1.27	1.3	1.24	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': 'rejected by Mankinen (2008) because too few samples', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.6	121.7	-29.6	268.0	4	r	Cobb Valley dacite	Igneous:Extrusive	Lava	38.8977504939701	Dacite	Clear Lake volcanic field	237.294069357164	LP-DIR-AF	dcv-1					-34.4000000000008	320.00000000000495
1.27	1.3	1.24	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2, 6], 'pmag_comments': 'rejected by Mankinen (2008) because too few samples and thought to be structurally perturbed', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.7	122.1	-58.8	191.0	4	r	Cobb Valley dacite	Igneous:Extrusive	Lava	38.85	Dacite	Clear Lake volcanic field	237.26	LP-DIR-AF	dcv-2					-45.93099085920398	347.3378089077513
1.27	1.3	1.24	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': 'rejected by Mankinen (2008) because too scattered', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	12.2	136.2	-32.1	40.0	5	r	Cobb Valley dacite	Igneous:Extrusive	Lava	38.8198633746198	Dacite	Clear Lake volcanic field	237.232577915558	LP-DIR-AF	dcv-3					-46.39999999835544	310.49999999425563
1.33	1.37	1.29	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.3	190.2	-66.0	404.0	6	r	Cobb Mountain dacite	Igneous:Extrusive	Lava	38.833379718284	Dacite	Clear Lake volcanic field	237.199313987593	LP-DIR-AF	dc-1					-77.99999999999771	91.69999999999357
1.33	1.37	1.29	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1, 2], 'pmag_comments': 'rejected by Mankinen (2008) because too few samples', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}		206.0	-69.0		1	r	Cobb Mountain dacite	Igneous:Extrusive	Lava	39.5680281239513	Dacite	Clear Lake volcanic field	235.55171614797	DE-NRM	dc-2					-67.9999999999952	100.99999999998856
1.38	1.39	1.37	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': 'rejected by Mankinen (2008) because interpreted as transitional direction', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.1	99.6	16.0	681.0	8	i	Alder Creek rhyolite	Igneous:Extrusive	Lava	39.1577697214576	Rhyolite	Clear Lake volcanic field	237.28308164632801	LP-DIR-AF	ra-1					-2.2000000000029343	314.9000000000014
1.38	1.39	1.37	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2, 9], 'pmag_comments': 'rejected by Mankinen (2008) because too few samples and interpreted as transitional direction', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}		92.0	17.0		1	i	Alder Creek rhyolite	Igneous:Extrusive	Lava	39.6070723767887	Rhyolite	Clear Lake volcanic field	236.975633549716	LP-DIR-AF	ra-2					4.000000000000688	319.00000000000034
1.38	1.39	1.37	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2, 9], 'pmag_comments': 'rejected by Mankinen (2008) because too few samples and interpreted as transitional direction', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}		97.0	23.0		1	i	Alder Creek rhyolite	Igneous:Extrusive	Lava	38.2471654561233	Rhyolite	Clear Lake volcanic field	236.709115376976	LP-DIR-AF	ra-3					2.0000000000000044	313.0000000000009
1.38	1.39	1.37	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': 'rejected by Mankinen (2008) because interpreted as transitional direction', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.1	112.6	3.3	324.0	8	i	Alder Creek rhyolite	Igneous:Extrusive	Lava	38.8	Rhyolite	Clear Lake volcanic field	237.2	LP-DIR-AF	ra-4					-16.338654525534523	311.2835989837644
1.38	1.39	1.37	Ma	10.3133/pp1141:10.1016/S0016-7037(03)00140-6:10.1016/S0016-7037(03)00126-1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': 'rejected by Mankinen (2008) because interpreted as transitional direction', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.8	120.8	4.5	76.0	6	i	Alder Creek rhyolite	Igneous:Extrusive	Lava	38.7185266445696	Rhyolite	Clear Lake volcanic field	237.32560342054302	LP-DIR-AF	ra-5					-21.999999999978154	305.0999999999794
