tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
1.305	2.61	0.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	21.07	19.06	Rhyolite:Andesite	Eastern TMVB	Outcrop	263.61	256.2	North American Plate	6.8	41.5	-86.3	296.9	12	Eastern TMVB pole 1	SM1:SM3:SM4:SM5:SM7:SM8:SM11:SM13:SM14:SM15:SM16:SM17
10.3	17.6	3.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	21.07	19.06	Rhyolite:Andesite	Eastern TMVB	Outcrop	263.61	256.2	North American Plate	14.3	75.08	-82.5	0.8	3	Eastern TMVB pole 2	PS2 (VE34):PS4 (VE15):PS1 (VE108)
5.75	9.5	2.0	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Extrusive	21.07	19.06	Rhyolite:Andesite	Eastern TMVB	Outcrop	263.61	256.2	North American Plate	8.5	18.76	-79.8	6.2	17	Eastern TMVB pole 3	CA2:MC2:MM1:XO1 (VE118):CY1 (VE118):MI1 (VE118):JA1 (PH113):TRT (TH24):MO1 (PH171):MZ1 (PH135):ZC1 (PH141):MS2-3 (VE94):ZC2:SB1:ZC3:PL1 (PH62):AT1 (PH40)
8.8	16.4	0.0	Ma		Igneous:Extrusive	21.07	19.06	Rhyolite:Andesite	Eastern TMVB	Outcrop	263.61	256.2	North American Plate							SM1:SM2*:SM3:SM4:SM5:SM6*:SM7:SM8:SM9*:SM10*:SM11:SM12*:SM13:SM14:SM15:SM16:SM17:PS2 (VE34):PS3* (VE71b):PS4 (VE15):PS1 (VE108):CA2:MC2:MM1:XO1 (VE118):CY1 (VE118):MI1 (VE118):MR1* (VE118):JA1 (PH113):TRT (TH24):MO1 (PH171):MZ1 (PH135):ZC1 (PH141):MS2-3 (VE94):ZC2:SB1:ZC3:PL1 (PH62):AT1 (PH40)
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
1.29	2.58	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.7	358.3	33.8	108.8	1		Sierra de Rio Frio	Igneous:Extrusive	Lava	19.33	Rhyolite:Andesite	Eastern TMVB	261.22	LP-DIR-AF: LP-DIR-T	SM1					88.19325238063622	144.38082637977206
1.29	2.58	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [5], 'pmag_comments': 'scattered directions and probably remagnetized by lightning', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	15.4	129.4	74.1	6.9	12		Sierra de Rio Frio	Igneous:Extrusive	Lava	19.33	Rhyolite:Andesite	Eastern TMVB	261.24	LP-DIR-AF: LP-DIR-T	SM2*					-0.5088869862440499	283.7305260136387
1.29	2.58	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.8	324.6	36.3	93.0	11		Sierra de Rio Frio	Igneous:Extrusive	Lava	19.34	Rhyolite:Andesite	Eastern TMVB	261.29	LP-DIR-AF: LP-DIR-T	SM3					56.73588493837321	178.823853141381
1.6915	2.61	0.773	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.5	191.0	-32.0	389.1	1		Sierra de Rio Frio	Igneous:Extrusive	Lava	19.32	Rhyolite:Andesite	Eastern TMVB	261.27	LP-DIR-AF: LP-DIR-T	SM4					-79.37658655141895	180.183281406077
1.29	2.58	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.8	343.7	34.0	35.1	11		Sierra de Rio Frio	Igneous:Extrusive	Lava	19.34	Rhyolite:Andesite	Eastern TMVB	261.31	LP-DIR-AF: LP-DIR-T	SM5					74.57661685310487	171.38373482471573
1.29	2.58	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [5], 'pmag_comments': 'scattered directions and probably remagnetized by lightning', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	99.9	283.3	46.7	1.0	1		Sierra Nevada	Igneous:Extrusive	Lava	19.326	Rhyolite:Andesite	Eastern TMVB	261.288	LP-DIR-AF: LP-DIR-T	SM6*					20.296452200520783	194.85755503260705
0.3865	0.773	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.9	356.5	38.2	112.7	13		Sierra Nevada	Igneous:Extrusive	Lava	19.29	Rhyolite:Andesite	Eastern TMVB	261.32	LP-DIR-AF: LP-DIR-T	SM7					86.05694526849405	205.61600532529252
0.3865	0.773	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.3	6.2	34.6	84.4	1		Sierra Nevada	Igneous:Extrusive	Lava	19.28	Rhyolite:Andesite	Eastern TMVB	261.28	LP-DIR-AF: LP-DIR-T	SM8					84.138289282765	352.6970223349915
0.3865	0.773	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': 'transitional direction?', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.7	35.3	-50.1	20.0	12		Sierra Nevada	Igneous:Extrusive	Lava	19.302	Rhyolite:Andesite	Eastern TMVB	261.2975	LP-DIR-AF: LP-DIR-T	SM9*					29.43476939159084	46.58526804967168
1.29	2.58	0.0	Ma	10.1016/S0040-1951(99)00313-3	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [5], 'pmag_comments': 'scattered directions and probably remagnetized by lightning', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	17.5	37.0	0.8	7.1	12		Sierra Nevada	Igneous:Extrusive	Lava	19.342	Rhyolite:Andesite	Eastern TMVB	261.331	LP-DIR-AF: LP-DIR-T	SM10*					49.09998013827914	14.52995701273884
