tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
40.42	46.7	34.14	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Intrusive:Sedimentary	29.118	28.987	Sandstone:Gabbro	Mariscal Mtn intrusions	Outcrop	256.829	256.799	North American Plate	5.4	42.46	-80.0	5.3	18	Mariscal Mtn intrusions pole	mm8:mm9:mm10:mm12:mm13:mm18:mm20:mm21:mm23:mm24:mm25:mm26:mm30:mm31:mm37:mm39:mm42a:mm44
40.42	34.14	34.14	Ma		Igneous:Intrusive:Sedimentary	29.118	28.987	Sandstone:Gabbro	Mariscal Mtn intrusions	Outcrop	256.829	256.799	North American Plate							mm8:mm9:mm10:mm12:mm13:mm18:mm19*:mm20:mm21:mm22*:mm23:mm24:mm25:mm26:mm30:mm31:mm37:mm39:mm42a:mm42b*:mm44
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.4	355.6	53.3	201.9	1		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.085	Gabbro	Mariscal Mtn intrusions	256.823	LP-DIR-AF: LP-DIR-T	mm8					83.9332202218566	219.74972259015703
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	13.8	345.7	45.1	31.7	5		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.087	Gabbro	Mariscal Mtn intrusions	256.804	LP-DIR-AF: LP-DIR-T	mm9					77.13331942544724	159.28409032783122
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.4	358.7	50.4	316.1	7		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.087	Gabbro	Mariscal Mtn intrusions	256.805	LP-DIR-AF: LP-DIR-T	mm10					87.65172098140135	228.5188038189365
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.3	345.5	56.0	246.1	9		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.085	Gabbro	Mariscal Mtn intrusions	256.807	LP-DIR-AF: LP-DIR-T	mm12					75.73472166047499	202.0921761810489
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.1	351.4	54.2	870.7	7		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.086	Gabbro	Mariscal Mtn intrusions	256.808	LP-DIR-AF: LP-DIR-T	mm13					80.77744180437297	206.7424512175029
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.2	331.1	40.2	335.6	5		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.106	Gabbro	Mariscal Mtn intrusions	256.829	LP-DIR-AF: LP-DIR-T	mm18					63.37016353712461	160.14058009866358
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [13], 'pmag_comments': 'contact sandstone; not used in mean calculation', 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.9	323.7	42.2	186.1	6		100	Mariscal Mtn. Gabbro	Sedimentary	Baked Contact	29.106	Sandstone	Mariscal Mtn intrusions	256.829	LP-DIR-AF: LP-DIR-T	mm19*					57.370811666590406	167.22539658534927
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.6	323.9	51.4	468.6	8		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.106	Gabbro	Mariscal Mtn intrusions	256.829	LP-DIR-AF: LP-DIR-T	mm20					58.92511074976292	181.4967065300747
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.0	331.2	44.3	123.0	8		100	Mariscal Mtn. Gabbro	Sedimentary	Baked Contact	29.108	Sandstone	Mariscal Mtn intrusions	256.829	LP-DIR-AF: LP-DIR-T	mm21					64.34420671702624	166.83141579232387
40.42	46.7	34.14	Ma	10.1029/94TC03089:https://scholarworks.utep.edu/open_etd/314/	{'2sig_min': 0.18, '2sig_max': 0.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [13], 'pmag_comments': 'contact sandstone; not used in mean calculation', 'age_comments': 'Age range based on U-Pb zircon dates and Ar-Ar dates. Note: two U-Pb zircon dates yielded ages of ~46 whereas Ar-Ar ages are mostly ~10 Myrs younger (it is not clear why this is, although Miggins (2009) suggets may be due to younger [undated] intrusions). Here taking the range of ages until this is better clarified.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.9	320.6	47.2	131.2	8		100	Mariscal Mtn. Gabbro	Igneous:Intrusive	Sill	29.108	Gabbro	Mariscal Mtn intrusions	256.829	LP-DIR-AF: LP-DIR-T	mm22*					55.60831914262108	175.4167771501389
