tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.209	0.25	0.16799999999999998	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.16	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2, 3], 'pmag_comments': nan, 'age_comments': nan}	16.5	7.8	23.8	56.0	3	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.416	Andesite	Michoacan Guanajuato volcanic field	-102.305	LP-DIR-AF: LP-DIR-T	Tan1 (TV)					79.75871763168821	29.499745639131174
0.209	0.25	0.16799999999999998	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.17	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	3.9	353.5	43.5	199.0	8	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.4161944444	Andesite	Michoacan Guanajuato volcanic field	-102.3048611111	LP-DIR-AF: LP-DIR-T	Tan2 (TV)					81.53426452968891	213.69066733504502
0.429	0.493	0.365	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.18	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	3.6	339.9	60.9	242.0	8	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.3743611111	Andesite	Michoacan Guanajuato volcanic field	-102.0910277778	LP-DIR-AF: LP-DIR-T	Tan3 (UR-4)					61.731435401509536	225.23875522352293
0.269	0.29100000000000004	0.24700000000000003	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.19	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': nan, 'age_comments': nan}		348.5	41.2		2	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.395	Andesite	Michoacan Guanajuato volcanic field	-102.412	LP-DIR-AF: LP-DIR-T	Tan5 (Tan28)					78.49573810979403	191.27560207091778
0.256	0.274	0.23800000000000002	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.20	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	9.6	17.9	58.6	41.0	7	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.4257222222	Andesite	Michoacan Guanajuato volcanic field	-102.4355277778	LP-DIR-AF: LP-DIR-T	Tan6 (Tan26)					64.8226893666038	291.5446260070994
0.373	0.434	0.312	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.21	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	6.3	348.6	28.1	115.0	6	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.308888889	Andesite	Michoacan Guanajuato volcanic field	-102.5395833333	LP-DIR-AF: LP-DIR-T	Tan7 (Tan10)					78.2697930751509	147.39947522381448
0.612	0.653	0.571	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.22	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	2.9	2.5	27.7	359.0	8	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.261861111111113	Andesite	Michoacan Guanajuato volcanic field	-102.56405555555556	LP-DIR-AF: LP-DIR-T	Tan8 (Tan43)					84.85755583634828	49.356114507983406
0.612	0.653	0.571	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.23	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	9.2	352.7	31.3	39.0	8	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.268194444444443	Andesite	Michoacan Guanajuato volcanic field	-102.56901111111111	LP-DIR-AF: LP-DIR-T	Tan9 (Tan 43)					82.67192766641827	149.8175996825313
0.082	0.10600000000000001	0.058	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.24	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	7.3	1.2	32.8	69.0	7	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.164555555555555	Andesite	Michoacan Guanajuato volcanic field	-102.21575	LP-DIR-AF: LP-DIR-T	Tan10 (NI 19)					88.26922409850462	36.486753150705724
0.163	0.2	0.126	Ma	https://doi.org/10.22201/igf.00167169p.2009.4.25	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	4.3	349.3	43.6	189.0	7	n	Tancitaro volcanics	Igneous:Extrusive	Lava	19.01025	Andesite	Michoacan Guanajuato volcanic field	-102.06763888888888	LP-DIR-AF: LP-DIR-T	Tan11 (NI 18)					78.18845947641505	202.95224420410682
