tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.4	201.0	-68.9	96.77419354838666	7	r	100	South Shore	Igneous	impact Melt	55.8473017344442	Not Specified	Mistastin Lake impact	296.6194921459192	LP-DIR-AF	1					-77.25125126043424	213.79671258889138
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.9	186.7	-67.4	54.26356589147306	8	r	100	South Shore	Igneous	impact Melt	55.8327313134927	Not Specified	Mistastin Lake impact	296.6308596345922	LP-DIR-AF	2					-83.09890966186855	258.222794738008
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.3	177.7	-67.7	117.64705882353007	5	r	100	South Shore	Igneous	impact Melt	55.8315307372506	Not Specified	Mistastin Lake impact	296.6522483297039	LP-DIR-AF	3					-84.62920961599563	312.4305766111196
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.3	165.1	-68.2	166.6666666666653	6	r	100	Côté Creek	Igneous	impact Melt	55.8899204424108	Not Specified	Mistastin Lake impact	296.5890255910606	LP-DIR-AF	4_adj					-80.08790884823715	5.513806181402401
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.8	174.9	-68.6	111.11111111111056	7	r	100	Côté Creek	Igneous	impact Melt	55.8989520754683	Not Specified	Mistastin Lake impact	296.5914707900692	LP-DIR-AF	5_adj					-85.00967962568507	335.67171233225025
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.1	170.8	-66.0	189.1891891891896	8	r	100	Côté Creek	Igneous	impact Melt	55.9157687884579	Not Specified	Mistastin Lake impact	296.6097543825422	LP-DIR-AF	6					-80.54769841549479	336.9572797894897
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.3	196.7	-68.9	126.98412698412575	9	r	100	North Shore	Igneous	impact Melt	55.9391601547815	Not Specified	Mistastin Lake impact	296.76055339838547	LP-DIR-AF	7_adj					-79.6080523187873	220.03053842231455
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.9	179.2	-68.6	260.86956521739484	7	r	100	Horseshoe Island	Igneous	impact Melt	55.8872245231648	Not Specified	Mistastin Lake impact	296.6516034293508	LP-DIR-AF	8					-85.99596383337955	303.7370307695937
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.8	169.9	-68.1	35.532994923857856	8	r	100	South Shore	Igneous	impact Melt	55.8322642924368	Not Specified	Mistastin Lake impact	296.6781740762271	LP-DIR-AF	9					-82.42859300971048	353.18533715884763
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.5	174.6	-66.3	350.00000000000745	8	r	100	South Shore	Igneous	impact Melt	55.8369680980044	Not Specified	Mistastin Lake impact	296.72359375129963	LP-DIR-AF	10					-82.15820814749512	323.79277157200676
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.9	166.9	-70.0	1213.0	6	r	100	Discovery Hill	Igneous	impact Melt	55.8587	Not Specified	Mistastin Lake impact	296.5646	LP-DIR-AF: LP-DIR-T	12					-82.24240520136668	17.755138547888023
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 2.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.1	181.5	-66.8	186.0	8	r	100	Discovery Hill	Igneous	impact Melt	55.8596	Not Specified	Mistastin Lake impact	296.5636	LP-DIR-AF: LP-DIR-T	1					-83.47377953232126	287.9429370558763
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 3.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.1	153.5	-65.0	120.0	6	r	100	Discovery Hill	Igneous	impact Melt	55.8601	Not Specified	Mistastin Lake impact	296.5662	LP-DIR-AF: LP-DIR-T	2					-71.41342607715434	9.269752407515586
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 4.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.9	178.3	-72.1	178.0	4	r	100	Discovery Hill	Igneous	impact Melt	55.8603	Not Specified	Mistastin Lake impact	296.5657	LP-DIR-AF: LP-DIR-T	3					-88.41467485409878	80.98473915152823
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 5.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.3	186.8	-72.2	111.0	4	r	100	Discovery Hill	Igneous	impact Melt	55.8604	Not Specified	Mistastin Lake impact	296.5652	LP-DIR-AF: LP-DIR-T	4					-85.99155593592978	182.80113988878273
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 6.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.5	204.0	-69.9	220.0	6	r	100	Discovery Hill	Igneous	impact Melt	55.8602	Not Specified	Mistastin Lake impact	296.565	LP-DIR-AF: LP-DIR-T	5					-76.09544591946506	205.06089251791778
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 7.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.2	183.3	-66.4	908.0	6	r	100	Discovery Hill	Igneous	impact Melt	55.8575	Not Specified	Mistastin Lake impact	296.5622	LP-DIR-AF: LP-DIR-T	11					-82.71414696790708	279.1849635031094
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 8.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.2	191.5	-68.3	432.0	6	r	100	Discovery Hill	Igneous	impact Melt	55.8574	Not Specified	Mistastin Lake impact	296.5618	LP-DIR-AF: LP-DIR-T	10					-81.919463314542	234.5252946046102
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 9.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.5	187.8	-65.1	178.0	7	r	100	Discovery Hill	Igneous	impact Melt	55.8573	Not Specified	Mistastin Lake impact	296.5618	LP-DIR-AF: LP-DIR-T	9					-80.02438143754121	264.3511166890057
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [14], 'pmag_comments': 'this site is superseded by the row below, which is the same result after correction for anisotropy.', 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.2	182.8	-56.7	85.0	15	r	100	Côté Creek	Igneous	impact Melt	55.9208	Not Specified	Mistastin Lake impact	296.6072	LP-DIR-AF: LP-DIR-T	6					-71.26159406352913	289.6575076830818
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 1.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': 'this is an anisotropy-corrected version of site 6; this is preferred by the original authors', 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.3	183.5	-60.4	80.0	15	r	100	Côté Creek	Igneous	impact Melt	55.9208	Not Specified	Mistastin Lake impact	296.6072	LP-DIR-AF: LP-DIR-T	6-ani					-75.25446379479361	286.2347954593578
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 1, 'rej_crit': [14], 'pmag_comments': 'this site is superseded by the row below, which is the same result after correction for anisotropy.', 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.3	184.9	-65.6	206.0	19	r	100	Côté Creek	Igneous	impact Melt	55.9193	Not Specified	Mistastin Lake impact	296.60609999999997	LP-DIR-AF: LP-DIR-T	7					-81.3257001497101	274.23836826874293
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 2, 'ordering': 2.0, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': 'this is an anisotropy-corrected version of site 7; this is preferred by the original authors ', 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.4	184.6	-65.2	193.0	19	r	100	Côté Creek	Igneous	impact Melt	55.9193	Not Specified	Mistastin Lake impact	296.60609999999997	LP-DIR-AF: LP-DIR-T	7-ani					-80.88448338531914	276.5113531481627
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.7	187.1	-67.1	168.0	10	r	100	South Shore	Igneous	impact Melt	55.8322	Not Specified	Mistastin Lake impact	296.641	LP-DIR-AF: LP-DIR-T	13					-82.61194972047322	258.30119018054154
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.1	188.4	-65.7	330.0	4	r	100	South Shore	Igneous	impact Melt	55.8322	Not Specified	Mistastin Lake impact	296.64639999999997	LP-DIR-AF: LP-DIR-T	14					-80.55191628767635	260.0318690188673
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.7	181.0	-60.7	78.0	5	r	100	South Shore	Igneous	impact Melt	55.8322	Not Specified	Mistastin Lake impact	296.6469	LP-DIR-AF: LP-DIR-T	15					-75.85352361144314	293.5906757670164
36.6	38.6	34.6	Ma	10.1016/0012-821X(69)90173-3:https://keep.lib.asu.edu/items/152806/view	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Ar-Ar result from impact melt rocks. See Young (2014) and Herve et al. (2015) for additional age data from previous work.', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.9	184.5	-64.0	129.0	8	r	100	West Point	Igneous	impact Melt	55.8949	Not Specified	Mistastin Lake impact	296.5972	LP-DIR-AF: LP-DIR-T	17					-79.43268153181778	279.2153992936623
