tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	10.2	179.9	-36.4	43.7	6.0		Spears	Igneous:Extrusive	Lava	34.16	Not Specified	Mogollon-Datil volcanics	-106.81	LP-DIR-AF: LP-DIR-T	1					-76.07520860978535	253.57989958986641
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.0	174.9	-32.0	275.4	7.0		Spears	Igneous:Extrusive	Lava	34.16	Not Specified	Mogollon-Datil volcanics	-106.8	LP-DIR-AF: LP-DIR-T	2					-72.5818001980811	269.6662955805096
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.7	181.9	-34.7	431.6	8.0		Spears	Igneous:Extrusive	Pyroclastite	34.16	Not Specified	Mogollon-Datil volcanics	-106.8	LP-DIR-AF: LP-DIR-T	3					-74.84220580040619	246.31822994047178
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.7	258.5	80.1	270.4	8.0		Spears	Igneous:Extrusive	Pyroclastite	34.23	Not Specified	Mogollon-Datil volcanics	-107.91	LP-DIR-AF: LP-DIR-T	4#					28.474633816251124	230.53567404075844
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.3	183.7	-24.5	336.2	7.0		Spears	Igneous:Extrusive	Lava	34.15	Not Specified	Mogollon-Datil volcanics	-106.82	LP-DIR-AF: LP-DIR-T	30					-68.42286080542598	243.3287079788919
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.5	178.4	-27.3	218.8	6.0		Spears	Igneous:Extrusive	Lava	34.15	Not Specified	Mogollon-Datil volcanics	-106.82	LP-DIR-AF: LP-DIR-T	31					-70.26746157283927	257.7729017820365
34.5	37.0	32.0	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined from range of Spears ages given in Appendix 3', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.2	185.4	-44.2	112.9	8.0		Spears	Igneous:Extrusive	Lava	34.15	Not Specified	Mogollon-Datil volcanics	-106.81	LP-DIR-AF: LP-DIR-T	32					-80.54824599233218	222.16718414288295
35.945	37.0	34.89	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': 0.1, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': nan, 'age_comments': 'Age determined stratigraphically, although lower stratigraphic age not defined', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.8	55.9	-83.6	476.6	7.0		Rubio Peak	Igneous:Extrusive	Lava	32.66	Not Specified	Mogollon-Datil volcanics	-107.85	LP-DIR-AF: LP-DIR-T	21#					-25.039796095419717	60.60943875031563
35.945	37.0	34.89	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': 0.1, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined stratigraphically, although lower stratigraphic age not defined', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.1	166.2	-57.7	710.8	8.0		Rubio Peak	Igneous:Extrusive	Lava	32.65	Not Specified	Mogollon-Datil volcanics	-107.85	LP-DIR-AF: LP-DIR-T	22					-77.42400216133471	12.917171502543194
35.945	37.0	34.89	Ma	10.1029/JB093iB05p04869:10.1029/91JB00603	{'2sig_min': 0.1, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Age determined stratigraphically, although lower stratigraphic age not defined', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.0	157.5	-52.9	780.4	8.0		Rubio Peak	Igneous:Extrusive	Lava	32.64	Not Specified	Mogollon-Datil volcanics	-107.85	LP-DIR-AF: LP-DIR-T	23					-71.16015476781553	350.8281597809335
