tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
47.45	47.9	47.0	Ma	10.1029/JB079i002p00343:10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from dec/inc and reported vgp', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.8	356.1	56.3	125.9	5	n	Eocene dikes around Monterey, Virginia	Igneous:Intrusive	Volcanic Dike	38.2761902019473	Felsite	Monterey intrusions	281.1221522813717	LP-DIR-AF	1					86.5999999999459	167.69999999789763
47.45	47.9	47.0	Ma	10.1029/JB079i002p00343:10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from dec/inc and reported vgp', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	10.8	188.4	-48.1	539.9	2	r	Eocene dikes around Monterey, Virginia	Igneous:Intrusive	Volcanic Dike	38.14655	Felsite	Monterey intrusions	281.010513	LP-DIR-AF	2					-78.59999976685471	240.80000119548188
47.45	47.9	47.0	Ma	10.1029/JB079i002p00343:10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from dec/inc and reported vgp', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.9	176.8	-50.2	78.4	7	r	Eocene dikes around Monterey, Virginia	Igneous:Intrusive	Volcanic Dike	38.205653	Felsite	Monterey intrusions	280.769751	LP-DIR-AF	3					-82.3000002403221	301.70000070659455
47.45	47.9	47.0	Ma	10.1029/JB079i002p00343:10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from dec/inc and reported vgp', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	11.8	349.4	67.7	16.0	11	n	Eocene dikes around Monterey, Virginia	Igneous:Intrusive	Volcanic Dike	38.2330413715152	Felsite	Monterey intrusions	280.7710298499356	LP-DIR-AF	6					75.50000000076506	252.99999999844212
47.45	47.9	47.0	Ma	10.1029/JB079i002p00343:10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from dec/inc and reported vgp', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	11.8	208.3	-49.3	33.0	6	r	Eocene dikes around Monterey, Virginia	Igneous:Intrusive	Volcanic Dike	38.42	Basalt	Monterey intrusions	280.3	LP-DIR-AF	7					-65.32520642918075	201.24830705054111
47.45	47.9	47.0	Ma	10.1029/JB079i002p00343:10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from dec/inc and reported vgp', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.3	171.0	-58.1	607.5	5	r	Eocene dikes around Monterey, Virginia	Igneous:Intrusive	Volcanic Dike	38.3	Basalt	Monterey intrusions	280.9	LP-DIR-AF	8					-82.94706551613001	17.55398096360989
47.45	47.9	47.0	Ma	10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 1.', 'age_comments': 'K-Ar age of 46.5 Ma listed for this site by Ressetar and Martin (1980); no uncertainties provided. Instead using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.6	203.1	-61.9	199.9	9	r	Eocene dikes in NW Virginia and E West Virgina	Igneous:Intrusive	Volcanic Dike	38.4333333	Basalt	Monterey intrusions	280.4	DE-BLANKET	1					-71.95490444221066	167.99361626150565
47.45	47.9	47.0	Ma	10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 1.', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	15.8	214.8	-62.7	24.5	5	r	Eocene dikes in NW Virginia and E West Virgina	Igneous:Intrusive	Volcanic Dike	38.45	Basalt	Monterey intrusions	280.7166667	DE-BLANKET	2					-63.45146694305795	167.22561581082397
47.45	47.9	47.0	Ma	10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 1.', 'age_comments': 'Using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.8	181.9	-77.1	129.8	12	r	Eocene dikes in NW Virginia and E West Virgina	Igneous:Intrusive	Volcanic Dike	38.4083333	Basalt	Monterey intrusions	280.4	DE-BLANKET	3					-62.99636041642061	102.14262175204975
47.45	47.9	47.0	Ma	10.1130/G35407.1:10.1139/e80-165:10.3133/b1839J	{'2sig_min': 0.2, '2sig_max': 0.2, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'slat/slon estimated from fig. 1.', 'age_comments': 'K-Ar age of 44.6 Ma listed for this site by Ressetar and Martin (1980); no uncertainties provided. Instead using range of Ar-Ar ages reported by Mazza et al. (2014) [but see also Southworth et al. 1993 for additional age data].', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.0	173.5	-70.3	99.5	7	r	Eocene dikes in NW Virginia and E West Virgina	Igneous:Intrusive	Volcanic Dike	38.45	Basalt	Monterey intrusions	280.7166667	DE-BLANKET	4					-73.45622682079933	87.3334051612774
