tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
50.9	55.4	46.4	Ma	{'uncer_dist': 'uniform'}	Igneous:Extrusive:Not Specified:Igneous:Intrusive	48.91	46.79	Monzonite:Rhyolite:Shonkinite:Lamprophyre:Latite:Phonolite:Trachyte:Peridotite:Not Specified:Minette:Quartz Latite:Syenite:Pyroxenite	N Montana intrusions	Outcrop	251.48	248.57	North American Plate	3.5573271285299763	17.619207985549547	-82.31875641028682	358.45798148376537	95	N Montana intrusions pole	BP4N:BP4R:BP6:BP7:BP9:BP12:BP13:BP14:BP23:BP34:BP36:BP37:BP38:BP41:BP42:BP44:BP45:BP46:BP1:BP2:BP3:BPS:BP15:BP17:BP18:BP20:BP21:BP11:BP30:BP32:BP33:HW1:HW2:HW7:HW8:HW9:HW10:HW11:HW12:HW13:HW16:HW17:HW18:HW19:HW21:HW22:HW23:HW24-25-42:HW26-27:HW28:HW29:HW30:HW31:HW32:HW33:HW34:HW36:HW38:HW39:HW40:HW41:EB1:EB2:EB3:EB4:EB5:EB6:EB7:SH1:SH2-4:SH3:SH6:SH7:SH10:SH11:SH12:SH13:SH14:MB-1:MB-2:MB-3:MB-4:MB-7:MB-9:MB-10:LB1:LB2:LB3:LB5:LB8:LB10:LB11:LB12:LB13:LB14
50.9	52.1	46.4	Ma		Igneous:Extrusive:Not Specified:Igneous:Intrusive	48.91	46.79	Monzonite:Rhyolite:Shonkinite:Lamprophyre:Latite:Phonolite:Trachyte:Peridotite:Kimberlite:Not Specified:Granite:Minette:Quartz Latite:Syenite:Pyroxenite	N Montana intrusions	Outcrop	251.58	248.57	North American Plate							BP4N:BP4R:BP6:BP7:BP9:BP10*:BP12:BP13:BP14:BP23:BP24*:BP34:BP36:BP37:BP38:BP39*:BP40*:BP41:BP42:BP43*:BP44:BP45:BP46:BP1:BP2:BP3:BPS:BP8*:BP15:BP16*:BP17:BP18:BP19*:BP20:BP21:BP11:BP25*:BP26*:BP27*:BP28*:BP29*:BP30:BP31*:BP32:BP33:BP35*:HW1:HW2:HW5*:HW6*:HW7:HW8:HW9:HW10:HW11:HW12:HW13:HW14*:HW15*:HW16:HW17:HW18:HW19:HW20*:HW21:HW22:HW23:HW24-25-42:HW26-27:HW28:HW29:HW30:HW31:HW32:HW33:HW34:HW35*:HW36:HW37*:HW38:HW39:HW40:HW41:EB1:EB2:EB3:EB4:EB5:EB6:EB7:EB8*:SH1:SH2-4:SH3:SH5*:SH6:SH7:SH8*:SH9*:SH10:SH11:SH12:SH13:SH14:MB-1:MB-2:MB-3:MB-4:MB-5*:MB-6*:MB-7:MB-8*:MB-9:MB-10:LB1:LB2:LB3:LB5:LB6**:LB7*:LB8:LB9*:LB10:LB11:LB12:LB13:LB14:LB15*
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	3.3	354.5	69.9	175.0	12		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.23	Latite	N Montana intrusions	250.34	LP-DIR-AF	BP4N					83.44739907198719	220.60071241109992
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	3.6	177.1	-62.2	65.7	25		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.23	Latite	N Montana intrusions	250.34	LP-DIR-AF	BP4R					-84.84032348844036	274.4319937605132
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	5.8	351.8	77.5	78.8	1		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.18	Latite	N Montana intrusions	250.36	LP-DIR-AF	BP6					71.58406767297888	239.8154246678532
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	2.9	350.8	76.9	209.0	13		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.21	Shonkinite	N Montana intrusions	250.35	LP-DIR-AF	BP7					72.4664174739538	237.41000536903965
49.9	51.6	48.2	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	2.8	342.8	73.6	588.8	6		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.2	Monzonite	N Montana intrusions	250.35	LP-DIR-AF	BP9					74.89139142570059	215.2150197465302
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	20.7	246.4	39.7	6.5	5		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.19	Phonolite	N Montana intrusions	250.35	LP-DIR-AF	BP10*					2.24995078873316	192.4638052672099
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	3.9	335.3	62.7	172.1	9		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.17	Shonkinite	N Montana intrusions	250.31	LP-DIR-AF	BP12					72.48531450378772	156.0829834694761
53.4	55.4	51.4	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	3.7	178.9	-66.1	140.1	12		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.17	Pyroxenite	N Montana intrusions	250.3	LP-DIR-AF	BP13					-89.21660167899815	1.6620563307135523
51.55	52.2	50.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 2.5, '2sig_max': 2.6, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Two K-Ar ages offered for this site from two different mineral fractions; have taken both as min-max range; K-Ar age estimates not re-calculated (from 1980 standards)'}	3.2	163.3	-78.8	235.5	8		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.17	Syenite	N Montana intrusions	250.29	LP-DIR-AF	BP14					-68.12207758039416	53.79467479210469
52.15	54.4	49.9	Ma	10.1029/JB088iB12p10593:https://geoinfo.nmt.edu/publications/periodicals/isochronwest/29/IW_v29_p05.pdf	{'2sig_min': 1.7, '2sig_max': 1.9, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'K-Ar age estimates not re-calculated (from 1980 standards)'}	6.6	349.6	68.6	83.8	7		Bearpaw Mtns: Central Intrusive Core	Igneous:Intrusive	Pluton	48.24	Shonkinite	N Montana intrusions	250.48	LP-DIR-AF	BP23					82.3926180763917	193.2144489496466
