tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00777	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	3.0	354.4	77.0	195.0	6	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5447156255882	Andesite:Basalt	Ramsay Island lavas	-131.363249177843	LP-DIR-AF: LP-DIR-T	10					77.01521387398164	218.14700906187323
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00778	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	2.0	349.9	70.2	496.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5447229819401	Andesite:Basalt	Ramsay Island lavas	-131.362880837125	LP-DIR-AF: LP-DIR-T	11					83.74831668150192	158.41608921407928
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00779	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	3.0	1.5	74.0	180.0	6	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5448201619032	Andesite:Basalt	Ramsay Island lavas	-131.362517321679	LP-DIR-AF: LP-DIR-T	12					82.33403497739468	234.23980207632533
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00780	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	4.0	356.6	76.4	158.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.545194168127	Andesite:Basalt	Ramsay Island lavas	-131.361799933921	LP-DIR-AF: LP-DIR-T	13					78.23353611442991	221.36106824872806
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00781	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	4.0	352.1	81.3	215.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5453885204446	Andesite:Basalt	Ramsay Island lavas	-131.361072888683	LP-DIR-AF: LP-DIR-T	14					69.2863981443359	222.1091214601128
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00782	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	4.0	29.0	76.3	157.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5454930434785	Andesite:Basalt	Ramsay Island lavas	-131.360341015772	LP-DIR-AF: LP-DIR-T	15					71.19807755897668	269.8792300837717
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00783	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 1'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	5.0	8.2	72.0	120.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5455828683639	Andesite:Basalt	Ramsay Island lavas	-131.360345836904	LP-DIR-AF: LP-DIR-T	16					83.52195657957645	272.17869872969214
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00784	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 2'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	3.0	13.4	64.1	231.0	6	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5470553252099	Andesite:Basalt	Ramsay Island lavas	-131.358654845375	LP-DIR-AF: LP-DIR-T	17					78.99774095106059	350.8635429146788
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00785	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 2'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	3.0	25.2	62.6	377.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5475117924488	Andesite:Basalt	Ramsay Island lavas	-131.358310570157	LP-DIR-AF: LP-DIR-T	18					71.29000981916207	335.8328766260916
38.5	41.1	35.9	Ma	10.1016/S0040-1951(00)00143-8:10.1029/93JB00786	{'2sig_min': 1.4, '2sig_max': 1.4, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': "dec/inc recalculated from reported geographic coordinates and strike/dip (listed in the caption of Table 1); authors grouped this site into a 'group 2'", 'age_comments': 'Based on two whole rock K-Ar ages from Ramsay Island; decay constants not updated (from 1991 standards)'}	2.0	0.6	60.4	434.0	5	n	Ramsay Island lavas	Igneous:Extrusive	Lava	52.5479623857281	Andesite:Basalt	Ramsay Island lavas	-131.358260983274	LP-DIR-AF: LP-DIR-T	37					78.79757033784662	46.32283487671022
