tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;2	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	8.7	351.0	61.0	54.0	6	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	1					82.32947036338608	129.98942181248734
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;3	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	23.0	354.0	55.0	13.0	3	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	3					78.41362589999888	94.55858547666128
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;4	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	9.0	1.0	63.0	61.0	4	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	4					88.1228262258833	47.14940848868029
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;5	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	22.0	332.0	62.0	10.0	4	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	5					69.99200753394821	161.1580465898619
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;6	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	7.2	314.0	47.0	75.0	5	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	6					49.88904770855504	149.23591567138112
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;7	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	15.0	316.0	56.0	22.0	4	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	7					56.0772054176196	158.99534519780514
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;8	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	8.4	330.0	52.0	47.0	6	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	8					63.37138856666408	139.48723691526888
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;9	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	8.2	324.0	67.0	12.0	3	n	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	9					65.86948391379424	180.98670900369234
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;10	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	6.0	160.0	-65.0	63.0	8	r	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	10					-76.27220413941937	350.08588945741127
50.3	52.6	48.0	Ma	10.1130/0016-7606(1988)100<0492:PAIDOT>2.3.CO;11	{'2sig_min': 1.9, '2sig_max': 2.0, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': 'Listed directions are in situ because authors determine that sills post-date structural tilting of host rocks. slat/slon had to be approximated as VGP lat/lon not provided; used an average slat/slon for all sites (note error in reported longitude in fig. 3). According to fig. 3, several sites are likely from the same cooling unit, but this is not specified. However, common time_units could be assumed from this figure.', 'age_comments': 'Based on min/max K-Ar ages provided by Harlan et al. (1988); decay constants not updated.'}	8.0	194.0	-64.0	40.0	7	r	Robinson Anticline Intrusive Complex	Igneous:Intrusive	Sill	46.2	Syenite	Robinson Antincline intrusions	249.5	LP-DIR-AF: LP-DIR-T	11					-80.26741524952537	157.3148189669272
