tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.158	0.183	0.133	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.6	343.6	68.1	71.0	8	n	100	Middle Fork Stanislaus River basalt	Igneous:Extrusive	Lava	38.33	Basalt	SW USA composite	240.19	DE-BLANKET	1C614					72.7222147637897	203.63054799015606
0.3865	0.773	0.0	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range of Brunhes Chron', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.1	346.3	70.2	225.0	11	n	100	June Lake basalt	Igneous:Extrusive	Lava	37.8	Basalt	SW USA composite	240.93	DE-BLANKET	1C651					71.07759725209397	215.66819559026365
0.3865	0.773	0.0	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range of Brunhes Chron', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.4	305.3	47.8	50.0	9	n	100	Cada Diablo Mtn. basalt	Igneous:Extrusive	Lava	37.68	Basalt	SW USA composite	241.5	DE-BLANKET	1C671					44.07853533969643	157.32087967645538
0.053000000000000005	0.097	0.009000000000000001	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.5	0.4	70.2	248.0	8	n	100	Sawmill Creek basalt	Igneous:Extrusive	Lava	36.91	Basalt	SW USA composite	241.69	DE-BLANKET	1C684					72.6633697273808	242.47439048955192
0.3865	0.773	0.0	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range of Brunhes Chron', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.7	344.9	60.6	324.0	6	n	100	N. Fork Oak Creek basalt	Igneous:Extrusive	Lava	36.84	Basalt	SW USA composite	241.69	DE-BLANKET	1C701					77.39686733477066	178.43610929828185
0.81	0.97	0.65	Ma	10.1029/2008GC001957	{'2sig_min': 0.35, '2sig_max': 0.16, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'Different plagioclase separates from the same sample have yielded ages of 0.97 +/- 0.16 and 0.65 +/- 0.35 Ma', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.9	333.4	57.4	236.0	7	n	100	Devils Postpile basalt	Igneous:Extrusive	Lava	37.62	Basalt	SW USA composite	240.92	DE-BLANKET	2C551					69.05562379142297	160.2366160098375
0.35	0.37	0.32999999999999996	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': 'site rejected because n < 5', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.0	9.3	55.9	238.0	3	n	100	Horseshoe Bay dacite	Igneous:Extrusive	Lava	39.01	Dacite	SW USA composite	237.24	DE-BLANKET	2C801*					82.21472023221905	343.56848823894677
0.35	0.41	0.29	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.1	0.0	56.2	118.0	5	n	100	Soda Bay dacite	Igneous:Extrusive	Lava	39.01	Dacite	SW USA composite	237.2	DE-BLANKET	2C804					87.74572560730144	57.2
0.176	0.19699999999999998	0.155	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.4	4.2	57.6	817.0	6	n	100	South Fork cone lava	Igneous:Extrusive	Lava	36.36	Basalt	SW USA composite	241.72	DE-BLANKET	3V021					86.16996585442101	301.1759930120713
0.3865	0.773	0.0	Ma	10.1029/2008GC001957	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range of Brunhes Chron', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.7	8.8	55.4	120.0	9	n	100	Tunnel cone lava	Igneous:Extrusive	Lava	36.37	Basalt	SW USA composite	241.72	DE-BLANKET	3V028					82.88353665305695	332.6231520755821
