tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
3.4	3.46	3.34	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.3	330.1	64.9	581.5	8	n	Idaho Group	Igneous:Extrusive	Lava	42.60264	Basalt	Snake River Plain	245.60245	LP-DIR-AF: LP-DIR-T	sr01					68.47353407589513	177.3503473726725
2.0	2.1	1.9	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.0	151.8	-57.5	405.3	7	r	Idaho Group	Igneous:Extrusive	Lava	42.60352	Basalt	Snake River Plain	245.5993	LP-DIR-AF: LP-DIR-T	sr03					-68.15916994683708	333.310735839057
0.095	0.109	0.081	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.3	16.5	54.6	316.1	5	n	Springs Basalt	Igneous:Extrusive	Lava	42.60104	Basalt	Snake River Plain	245.59638	LP-DIR-AF: LP-DIR-T	sr04					75.17624314841146	0.3789833109668013
0.395	0.41500000000000004	0.375	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.0	14.6	77.9	410.5	7	n	Springs Basalt	Igneous:Extrusive	Lava	42.73656	Basalt	Snake River Plain	245.16456	LP-DIR-AF: LP-DIR-T	sr09					64.66272364863308	258.5861511967927
0.373	0.385	0.361	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.0	346.5	73.7	430.3	7	n	Malad Basalt	Igneous:Extrusive	Lava	42.8418	Basalt	Snake River Plain	245.11175	LP-DIR-AF: LP-DIR-T	sr11					71.2451827285927	223.60872134408007
0.404	0.41800000000000004	0.39	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.1	15.3	44.8	227.6	5	n	Madson Basalt	Igneous:Extrusive	Lava	42.8657	Basalt	Snake River Plain	245.12742	LP-DIR-AF: LP-DIR-T	sr12					69.34946138360141	23.048064254940662
0.052	0.076	0.027999999999999997	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.0	347.4	65.6	227.9	7	n	McKinney Basalt	Igneous:Extrusive	Lava	42.88822	Basalt	Snake River Plain	244.92279	LP-DIR-AF: LP-DIR-T	sr16					79.89721111729514	188.24515840154746
1.76	2.08	1.44	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.7	169.3	-63.5	1197.9	4	r	Idaho Group	Igneous:Extrusive	Lava	42.56857	Basalt	Snake River Plain	245.70095	LP-DIR-AF: LP-DIR-T	sr19					-81.88905436938393	357.3923145252877
2.26	2.36	2.1599999999999997	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [5], 'pmag_comments': 'likely overprinted', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.6	334.3	51.0	42.2	8		Idaho Group	Igneous:Extrusive	Lava	42.49964	Basalt	Snake River Plain	245.84815	LP-DIR-AF: LP-DIR-T	sr20					66.95658074363156	136.35349922406752
1.69	1.73	1.65	Ma	10.1029/2003GC000661	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.7	172.4	-66.9	797.1	5	r	Idaho Group	Igneous:Extrusive	Lava	42.49962	Basalt	Snake River Plain	245.85094	LP-DIR-AF: LP-DIR-T	sr21					-81.21587097005413	31.651827059640937
