tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
11.8	13.4	10.200000000000001	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [11], 'pmag_comments': 'rejected because older than rest of collection', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.1	277.1	-71.1	84.0	8	i	100	Burdell Mtn.	Igneous:Extrusive	Not Specified	38.13	Not Specified	Sonoma volcanics	237.43	DE-BLANKET	1					-27.034280632755415	96.43818427448976
4.8	5.2	4.3999999999999995	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1029/GL016i010p01081	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 1, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [1, 14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.6	177.1	-35.5	1287.0	8	r	100	Monticello Road section	Igneous:Extrusive	Tuff	38.35	Not Specified	Sonoma volcanics	237.77	DE-NRM	2					-71.11046345923575	246.23429783201897
4.4	5.4	3.4	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1130/GES00626.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.2	188.1	-54.6	179.0	8	r	100	Monticello Road section	Igneous:Intrusive	Volcanic Dike	38.35	Not Specified	Sonoma volcanics	237.77	DE-BLANKET	3					-82.75751006216294	171.6943927415077
4.3	4.5	4.1	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1029/GL016i010p01081	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 1, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.3	182.7	-47.0	109.0	8	r	100	Monticello Road section	Igneous:Extrusive	Tuff	38.35	Not Specified	Sonoma volcanics	237.77	DE-BLANKET	4					-79.60302677287685	224.47037904261393
4.3	4.5	4.1	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1029/GL016i010p01081	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 1, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	4.2	181.2	-48.3	173.0	8	r	100	Monticello Road section	Igneous:Extrusive	Tuff	38.35	Not Specified	Sonoma volcanics	237.77	DE-BLANKET	5					-80.8961284310187	231.1418476590571
2.95	3.4	2.5	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1130/GES00626.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1, 14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.9	185.8	-31.1	372.0	8	r	100	Los Alamos Rd. - Adobe Canyon section	Igneous:Extrusive	Tuff	38.56	Not Specified	Sonoma volcanics	237.53	DE-NRM	6					-67.63985406014216	222.7965625816298
2.95	3.4	2.5	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1130/GES00626.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	1.9	166.4	-68.2	906.0	8	r	100	Los Alamos Rd. - Adobe Canyon section	Igneous:Extrusive	Tuff	38.56	Andesite	Sonoma volcanics	237.53	DE-BLANKET	7					-74.05423663416796	25.20913666563921
5.3	5.7	4.8999999999999995	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 2, 'ordering': 11.0, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': 'too few samples (rejected by Mankinen, 2008)', 'age_comments': 'K-Ar not updated since 1972 standards', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}		172.0	-53.0		2	r	100	Los Alamos Rd. - Adobe Canyon section	Igneous:Extrusive	Tuff	38.44	Rhyolite	Sonoma volcanics	237.48	DE-BLANKET	8					-81.90302849734633	292.9009105678798
4.75	5.5	4.0	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1029/GL016i010p01081	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 2, 'ordering': 10.0, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': 'too few samples (rejected by Mankinen, 2008)', 'age_comments': 'age range is that estimated for entire section by Mankinen (1989); similar to range of ages for Sugarloaf Ridge from Wegner et al. (2011)', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}		169.0	-30.0		2	r	100	Los Alamos Rd. - Adobe Canyon section	Igneous:Extrusive	Tuff	38.44	Rhyolite	Sonoma volcanics	237.47	DE-BLANKET	9					-65.66232418571703	263.88290823531895
4.75	5.5	4.0	Ma	10.1130/0016-7606(1972)83[2063:PAPAOT]2.0.CO;2:10.1130/GES00626.1	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 1, 'strat_group': 2, 'ordering': 9.0, 'synch_unit': 0, 'rej_crit': [14], 'pmag_comments': 'superseded by result in Mankinen (1989)', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.2	200.3	-40.6	80.0	8	r	100	Los Alamos Rd. - Adobe Canyon section	Igneous:Extrusive	Tuff	38.48	Andesite	Sonoma volcanics	237.39	DE-BLANKET	11					-66.91841156179028	182.960568998021
