tab 	locations
age	age_high	age_low	age_unit	description	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	plate_blocks	pole_alpha95	pole_k	pole_lat	pole_lon	pole_n_sites	result_name	sites
21.08	21.96	20.2	Ma	{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}	Igneous:Intrusive	37.6109111390645	37.38	Quartz Monzonite	Stoddard Mountain laccolith	Outcrop	247.373404989665	246.09	North American Plate	4.5	56.54	-83.8	333.6	19	Stoddard Mountain laccolith pole	SM1:SM2:SM3:SM4:SM5:SM6:SM12:SM13:SM14:SM15:SM16:SM17:SM21:SM22:SM23:SM24:SM25:SM45:SM73
21.08	20.2	20.2	Ma		Igneous:Intrusive	37.6117113865027	37.38	Quartz Monzonite	Stoddard Mountain laccolith	Outcrop	247.373404989665	246.09	North American Plate							SM1:SM2:SM3:SM4:SM5:SM6:SM7:SM9:SM10:SM11:SM12:SM13:SM14:SM15:SM16:SM17:SM18:SM19:SM21:SM22:SM23:SM24:SM25:SM26:SM28:SM31:SM44:SM45:SM66:SM73:mean of chilled zone
>>>>>>>>>>
tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.8	340.6	64.6	97.61	6		100	laccolith inner zone	Igneous:Intrusive	Pluton	37.527424208091	Quartz Monzonite	Stoddard Mountain laccolith	246.590501350237	LP-DIR-AF: LP-DIR-T	SM1					73.10000000006646	194.6999999997211
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.4	340.7	60.9	125.73	7		100	laccolith inner zone	Igneous:Intrusive	Pluton	37.384803207407	Quartz Monzonite	Stoddard Mountain laccolith	246.23432473135	LP-DIR-AF: LP-DIR-T	SM2					74.50000000565883	179.29999995208144
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.1	348.9	65.7	89.85	5		100	laccolith inner zone	Igneous:Intrusive	Pluton	37.5022931027515	Quartz Monzonite	Stoddard Mountain laccolith	246.50580144834902	LP-DIR-AF: LP-DIR-T	SM3					76.79999999999833	212.1000000000058
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.1	357.1	52.2	116.45	5		100	laccolith inner zone	Igneous:Intrusive	Pluton	37.5469297993319	Quartz Monzonite	Stoddard Mountain laccolith	246.689450759563	LP-DIR-AF: LP-DIR-T	SM4					84.70000000127062	94.10000000710392
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.8	0.9	54.8	97.05	6		100	laccolith inner zone	Igneous:Intrusive	Pluton	37.53	Quartz Monzonite	Stoddard Mountain laccolith	246.32999999999998	LP-DIR-AF: LP-DIR-T	SM5					87.68281688571935	47.85140411688264
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	7.8	179.3	-68.9	73.95	6		100	laccolith inner zone	Igneous:Intrusive	Pluton	37.4494144192145	Quartz Monzonite	Stoddard Mountain laccolith	246.563415134022	LP-DIR-AF: LP-DIR-T	SM6					-75.09999999999992	64.90000000000089
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	15.1	181.2	21.1	20.7	6		100	laccolith chilled zone	Igneous:Intrusive	Pluton	37.5668157095442	Quartz Monzonite	Stoddard Mountain laccolith	246.673300772868	LP-DIR-AF: LP-DIR-T	SM7					-41.50000000000004	245.10000000000008
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	12.7	180.6	13.0	37.15	5		100	laccolith chilled zone	Igneous:Intrusive	Pluton	37.6117113865027	Quartz Monzonite	Stoddard Mountain laccolith	246.654967103443	LP-DIR-AF: LP-DIR-T	SM9					-45.80000000000006	245.8000000000008
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.7	182.7	12.8	60.88	6		100	laccolith chilled zone	Igneous:Intrusive	Pluton	37.547091551855	Quartz Monzonite	Stoddard Mountain laccolith	246.556487715049	LP-DIR-AF: LP-DIR-T	SM10					-45.9	242.70000000000067
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages', 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	10.4	193.2	4.8	42.54	6		100	laccolith chilled zone	Igneous:Intrusive	Pluton	37.5640022332221	Quartz Monzonite	Stoddard Mountain laccolith	246.616680201149	LP-DIR-AF: LP-DIR-T	SM11					-48.19999999999949	226.60000000000076
