tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004930	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	6.8	340.6	64.6	97.61	6		laccolith inner zone	Igneous:Intrusive	Pluton	37.527424208091	Quartz Monzonite	Stoddard Mountain laccolith	-113.409498649763	LP-DIR-AF: LP-DIR-T	SM1					73.10000000006646	194.6999999997211
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004931	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	5.4	340.7	60.9	125.73	7		laccolith inner zone	Igneous:Intrusive	Pluton	37.384803207407	Quartz Monzonite	Stoddard Mountain laccolith	-113.76567526865	LP-DIR-AF: LP-DIR-T	SM2					74.50000000565883	179.29999995208144
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004932	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	8.1	348.9	65.7	89.85	5		laccolith inner zone	Igneous:Intrusive	Pluton	37.5022931027515	Quartz Monzonite	Stoddard Mountain laccolith	-113.494198551651	LP-DIR-AF: LP-DIR-T	SM3					76.79999999999833	212.1000000000058
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004933	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	7.1	357.1	52.2	116.45	5		laccolith inner zone	Igneous:Intrusive	Pluton	37.5469297993319	Quartz Monzonite	Stoddard Mountain laccolith	-113.310549240437	LP-DIR-AF: LP-DIR-T	SM4					84.70000000127062	94.10000000710393
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004934	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	6.8	0.9	54.8	97.05	6		laccolith inner zone	Igneous:Intrusive	Pluton	37.53	Quartz Monzonite	Stoddard Mountain laccolith	-113.67	LP-DIR-AF: LP-DIR-T	SM5					87.68281688571935	47.85140411688264
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004935	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	7.8	179.3	-68.9	73.95	6		laccolith inner zone	Igneous:Intrusive	Pluton	37.4494144192145	Quartz Monzonite	Stoddard Mountain laccolith	-113.436584865978	LP-DIR-AF: LP-DIR-T	SM6					-75.09999999999992	64.90000000000089
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004936	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	15.1	181.2	21.1	20.7	6		laccolith chilled zone	Igneous:Intrusive	Pluton	37.5668157095442	Quartz Monzonite	Stoddard Mountain laccolith	-113.326699227132	LP-DIR-AF: LP-DIR-T	SM7					-41.50000000000004	245.10000000000008
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004937	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	12.7	180.6	13.0	37.15	5		laccolith chilled zone	Igneous:Intrusive	Pluton	37.6117113865027	Quartz Monzonite	Stoddard Mountain laccolith	-113.345032896557	LP-DIR-AF: LP-DIR-T	SM9					-45.80000000000006	245.80000000000078
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004938	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	8.7	182.7	12.8	60.88	6		laccolith chilled zone	Igneous:Intrusive	Pluton	37.547091551855	Quartz Monzonite	Stoddard Mountain laccolith	-113.443512284951	LP-DIR-AF: LP-DIR-T	SM10					-45.9	242.70000000000067
21.08	21.96	20.2	Ma	10.1144/GSL.SP.2004.238.01.16:10.1002/2013GC004939	{'2sig_min': 0.05, '2sig_max': 0.11, 'uncer_dist': 'uniform', 'struc_cont': 0, 'rot_area': 1, 'strat_group': 0, 'ordering': nan, 'synch_unit': 1, 'rej_crit': [12], 'pmag_comments': 'chilled zone directions omitted because they fall far from reference direction', 'age_comments': 'age range from range of K-Ar and Ar-Ar ages'}	10.4	193.2	4.8	42.54	6		laccolith chilled zone	Igneous:Intrusive	Pluton	37.5640022332221	Quartz Monzonite	Stoddard Mountain laccolith	-113.383319798851	LP-DIR-AF: LP-DIR-T	SM11					-48.199999999999484	226.60000000000073
