tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.115	0.151	0.07900000000000001	Ma	10.1186/BF03352631	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	7.7	358.5	23.3	78.0	6	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.804333	Andesite	Tequila volcanic field	-103.7965	LP-DIR-AF: LP-DIR-T	TL1					81.22937316893356	85.86509503971887
0.178	0.194	0.16199999999999998	Ma	10.1186/BF03352632	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	8.8	359.7	22.9	56.0	3	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.866	Andesite	Tequila volcanic field	-103.84	LP-DIR-AF: LP-DIR-T	TL5					81.05544818823805	78.04821101582857
0.191	0.217	0.165	Ma	10.1186/BF03352633	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	6.5	10.5	26.1	128.0	6	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.81	Andesite	Tequila volcanic field	-103.845	LP-DIR-AF: LP-DIR-T	TM3					77.75336880265618	19.596810444473206
0.196	0.21200000000000002	0.18	Ma	10.1186/BF03352634	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	8.9	345.6	41.5	61.0	5	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.79017	Andesite	Tequila volcanic field	-103.851	LP-DIR-AF: LP-DIR-T	TM2					76.33702043039125	181.81911198662283
0.216	0.238	0.194	Ma	10.1186/BF03352635	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	9.9	12.3	24.7	45.0	6	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.78967	Andesite	Tequila volcanic field	-103.849	LP-DIR-AF: LP-DIR-T	TM1					75.86967912410454	17.893842230694876
0.261	0.28300000000000003	0.23900000000000002	Ma	10.1186/BF03352636	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	9.6	11.5	37.3	64.0	5	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.88383	Basalt	Tequila volcanic field	-103.899	LP-DIR-AF: LP-DIR-T	TM6					79.25659225003908	344.2173173095656
0.343	0.41900000000000004	0.267	Ma	10.1186/BF03352637	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	8.7	356.4	48.1	63.0	6	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.685	Basaltic Andesite	Tequila volcanic field	-103.883	LP-DIR-AF: LP-DIR-T	TM11					80.94835124696313	235.7130880164729
0.354	0.384	0.32399999999999995	Ma	10.1186/BF03352638	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': nan, 'age_comments': nan}	14.5	290.5	33.3	23.0	3		Tequila volcanic field	Igneous:Extrusive	Lava	20.689	Andesite	Tequila volcanic field	-103.91766666666666	LP-DIR-AF: LP-DIR-T	TM10					24.92974838840903	177.16842238644662
0.362	0.388	0.33599999999999997	Ma	10.1186/BF03352639	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [9], 'pmag_comments': nan, 'age_comments': nan}	6.2	23.3	5.8	222.0	9		Tequila volcanic field	Igneous:Extrusive	Lava	20.829166666666666	Basaltic Andesite	Tequila volcanic field	-103.99483333333333	LP-DIR-AF: LP-DIR-T	TM9					61.08669566019097	21.213696065516597
0.416	0.422	0.41	Ma	10.1186/BF03352640	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan}	8.5	341.6	20.5	63.0	6	n	Tequila volcanic field	Igneous:Extrusive	Lava	20.841	Rhyolite	Tequila volcanic field	-103.828	LP-DIR-AF: LP-DIR-T	TL2					69.5649237140639	138.8780815952964
