tab 	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	site	vgp_alpha95	vgp_dm	vgp_dp	vgp_k	vgp_lat	vgp_lon
0.0395	0.045	0.034	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 1.0, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': 'site rejected because alpha95 > 10', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	11.2	359.0	41.3	26.0	8	n	Banco Bonito	Igneous:Extrusive	Lava	35.88	Obsidian	Valles Caldera volcanics	253.37	LP-DIR-AF: LP-DIR-T	S47					77.80331879188647	77.7075816341664
0.055	0.06	0.05	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 1, 'ordering': 2.0, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.9	358.3	43.2	317.0	9	n	Battleship Rock	Igneous:Extrusive	Tuff	35.86	Felsic tuff	Valles Caldera volcanics	253.36	LP-DIR-AF: LP-DIR-T	S46					79.1924114062244	81.59363435867475
0.557	0.561	0.553	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	8.8	7.6	55.2	48.0	7	n	San Antonio II	Igneous:Extrusive	Lava	35.94	Rhyolite	Valles Caldera volcanics	253.4	LP-DIR-AF: LP-DIR-T	S45					83.83671782911169	343.10881600083053
0.52	0.53	0.51	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [3], 'pmag_comments': 'site rejected because alpha95 > 10', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	10.1	357.0	56.5	24.0	10	n	South Mountain	Igneous:Extrusive	Lava	35.82	Rhyolite	Valles Caldera volcanics	253.46	LP-DIR-AF: LP-DIR-T	S44					87.28327236637725	191.6911124017761
0.53	0.54	0.52	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.5	354.0	51.9	306.0	7	n	La Jara	Igneous:Extrusive	Lava	35.86	Rhyolite	Valles Caldera volcanics	253.5	LP-DIR-AF: LP-DIR-T	S43					84.02237180274537	131.31201702987394
0.557	0.561	0.553	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	6.7	8.8	59.8	81.0	7	n	San Antonio I	Igneous:Extrusive	Lava	35.9	Rhyolite	Valles Caldera volcanics	253.36	LP-DIR-AF: LP-DIR-T	S42					81.61488295086973	306.08805462430894
0.8	0.803	0.797	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	2.1	195.1	-56.8	609.0	9	r	San Luis	Igneous:Extrusive	Lava	35.94	Rhyolite	Valles Caldera volcanics	253.45	LP-DIR-AF: LP-DIR-T	S41					-77.81479724423586	152.17168025193664
0.787	0.802	0.772	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': nan, '2sig_max': nan, 'uncer_dist': 'normal', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [1], 'pmag_comments': 'only NRM reported', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	5.3	194.8	-55.1	129.0	7	r	Santa Rosa II	Igneous:Extrusive	Lava	35.96	Rhyolite	Valles Caldera volcanics	253.5	LP-DIR-AF: LP-DIR-T	S40					-78.00251115587801	160.71978243685868
0.785	0.8	0.77	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': 0.03, '2sig_max': 0.007, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [2], 'pmag_comments': 'site rejected because too few samples', 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	10.0	165.5	-70.6	622.0	2	r	Seco	Igneous:Extrusive	Lava	35.95	Rhyolite	Valles Caldera volcanics	253.44	LP-DIR-AF: LP-DIR-T	S39					-68.63517486066239	50.126994759509955
0.925	0.936	0.914	Ma	10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract	{'2sig_min': 0.004, '2sig_max': 0.008, 'uncer_dist': 'uniform', 'struc_cont': 1, 'rot_area': 0, 'strat_group': 0, 'ordering': nan, 'synch_unit': 0, 'rej_crit': [], 'pmag_comments': nan, 'age_comments': nan, 'dictonary_info': 'The codes used within this description dictionary are documented within Gallo et al. 2023'}	3.5	99.4	-67.4	305.0	7	i	Santa Rosa I	Igneous:Extrusive	Lava	35.95	Rhyolite	Valles Caldera volcanics	253.5	LP-DIR-AF: LP-DIR-T	S38					-32.39693925006951	25.118830861186648
