Study,pole,N,K,A95,slat,slon,Plat,Plon,min_age,max_age,mean_age,uncer_dist,ref,geologic_classes,lithologies,plate_blocks,lat_s,lat_n,lon_w,lon_e,description,sites
Absaroka_volcanics,1,19,10.051541916278504,11.140297818854645,44.61389934172793,250.05106464990044,-83.36426822402112,358.6414933206704,48.0,49.0,48.5,uniform,Shive and Pruss (1977),Igneous:Extrusive,Basalt,North American Plate,44.093705,45.35,-111.33,-108.08,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",6:8:39:40:51:48:31:32:14:12:11:10:9:4:5:44:3:1:16
Absaroka_volcanics,2,3,5.531306057397865,58.387835629375104,44.61389934172793,250.05106464990044,-65.5896762625883,274.5526151825454,48.0,49.0,48.5,uniform,Re-calculated from Nyblade et al. (1986) [who didn't calculate a pole position],Igneous:Extrusive,Basalt,North American Plate,44.093705,45.35,-111.33,-108.08,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",Lower Flow mean:Middle Flow mean:Upper Flow mean
Absaroka_volcanics,3,22,13.883294357293847,8.62944057290905,44.61389934172793,250.05106464990044,-80.78518941255406,326.5864311377409,45.0,54.0,49.5,uniform,Harlan and Morgan (2010),Sedimentary:Igneous:Extrusive,Basalt:Sandstone,North American Plate,44.093705,45.35,-111.33,-108.08,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",389+390 mean:615:395:394:396:AS1:AS2:AS3:AS4:618+620 mean:622:558:557:448+621 mean:628:635:617+624+625 mean:627:616:923:Independence stock mean:I5
Beaver_River_intrusions,1,21,44.97275626267796,4.79231159482962,60.238151143191764,234.65220927091502,-79.31324219108687,327.6698411828201,40.5,43.5,42.0,normal,Symons et al. (2003),Igneous:Intrusive,Syenite,North American Plate,60.2,60.3,234.5,234.8,"{'uncer_dist': 'normal', 'pole_calculation': 'pole recalculated from site VGP data'}",01 LCE:02 LCE:03 LCE:04 LCE:05 LCE:06 LCE:07 LCE:08 LCE:10 LCW:11 LCW:12 LCW:14 LCW:16 LCW:18 BR:19 BR:20 BR:21 BR:22 BR:23 BR:24 BR:26 BR
Bighorn_Basin_sediments,1,59,10.640569550647998,5.954671948866425,44.45981611409689,251.8096268489345,-81.54904237017679,2.761737505117778,52.54,59.237,55.8885,uniform,Clyde et al. (2007),Sedimentary,Mudstone: Siltstone: Sandstone,North American Plate,44.16568,44.69736,-108.35592,-107.82779,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",BH0401α:BH0403α:BH0404α:BH0405α:BH0407α:BH0408α:BH0410α:BH02015α:BH0415α:BH0416α:BH0417α:BH0419α:BH0420α:BH0421α:BH0422α:BH02034α:BH02035α:BH02037α:BH02038α:BH02039α:BH02040α:BH02041α:BH02042α:BH02043α:BH02044α:BH0423α:BH0424α:BH0425α:BH0426a:BH01025α:BH01027α:BH01028α:BH01031α:BH01038α:BH01039α:BH01040α:BH01043α:BH01045α:BH01046α:BH01049α:BH01050α:BH01051α:BH01053α:BH01055α:BH01064α:BH01073α:BH01076α:BH01077α:BH01080α:BH01091α:BH01092α:BH01022α:BH01023α:BH02054α:BH01096α:BH01097α:BH02060α:BH02050α:BH02051α
Bishop_tuff,1,47,127.0,1.9,37.67,241.25,-80.1641158694752,314.2902519137969,0.7661,0.7679,0.767,normal,Palmer et al. (1996),Igneous:Extrusive,Rhyolite,North American Plate,37.67,37.67,241.25,241.25,"{'uncer_dist': 'normal', 'pole_calculation': 'pole recalculated from site VGP data'}",Bishop Tuff mean
Bitterroot_Dome_intrusions,1,11,34.08268553827469,7.933789503969509,46.37303938267931,245.1076373817529,-72.17864705801641,344.43296839586606,46.4,55.5,50.95,uniform,Doughty and Sheriff (1992),Igneous:Intrusive,Rhyolite,North American Plate,46.1,46.7,244.8,245.4,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",B01:B02:B03:B05:B06:B09:B10:B11:B12:B15:B18
Central_Mexico_Plio-Pleistocene,1,13,61.071911302403514,5.34724209409093,19.55170637028009,260.39884010470064,-88.50309471229357,154.99689379593187,0.0,4.51,2.255,uniform,Mejia et al. (2005),Igneous:Extrusive,Andesite,North American Plate,18.976,22.82,-101.914,-99.25,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",6:8:9:10:11:12:13:14:15:17:18:19:20
Clear_Lake_volcanic_field,1,3,5.300916989058974,59.966190234982044,38.961940557709504,237.3323377322668,-84.88946072173705,298.87143052516774,0.8400000000000001,1.37,1.105,uniform,Mankinen et al. (1978); Mankinen et al. (1981),Igneous:Extrusive,Dacite:Andesite,North American Plate,38.833379718284,39.1973357597122,-122.800686012407,-122.420430653059,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",dc-1:aps mean:ag
Coso_Range_volcanics,1,2,16.165811097839374,66.82231496596893,35.944510977103654,242.2210480062103,-73.77595738589856,249.3026522763038,0.8300000000000001,1.31,1.07,uniform,Mankinen and Gromme (1982),Igneous:Extrusive,Basalt,North American Plate,35.9029698869511,35.9859433564612,-117.893496569538,-117.664527627671,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",32:33
Dinan_Bay_lavas,1,13,18.744472424483686,9.832138367475117,53.649138364580914,233.32081567905084,-83.33583869950067,324.2735640172362,18.9,26.4,22.65,uniform,Irving et al. (2000),Igneous:Extrusive,Basalt,North American Plate,53.6376229271893,53.6722586348384,-126.697544799636,-126.656089183881,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",46:47:48:49:51:52:53:54:55:56:57:58:59
Eastern_Alkaline_Province,1,17,42.47958785880613,5.536743496504044,20.32728918477155,262.72383899961557,-88.340152811511,267.7112481503849,1.5,14.97,8.235,uniform,Goguitchaichvili et al. (2007),Igneous:Extrusive,Basalt,North American Plate,19.62,21.324,-98.61,-96.415,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",VE18:VE19:VE10:VE13:VE12:VE11:VE16:VE17:VE05:VE03:VE02:VE04:VE07:VE01:VE06:VE15:VE08
Eastern_TMVB,1,12,41.4980532939343,6.8175889715033255,19.870125851817743,261.47979007718453,-86.26155874636252,296.937291890941,0.0,2.61,1.305,uniform,Ruiz-Martínez et al. (2000),Igneous:Extrusive,Rhyolite:Andesite,North American Plate,19.06,21.07,-103.8,-96.39,"{'uncer_dist': 'uniform', 'pole_calculation': 'pole recalculated from site VGP data'}",SM1:SM3:SM4:SM5:SM7:SM8:SM11:SM13:SM14:SM15:SM16:SM17
