name,fm./loc.,slat,slon,n,dec,inc,k,alpha95,f_corr,VGP_lat,VGP_lon,K,A95,dp,dm,mean_age,min_age,2sig_min,max_age,2sig_max,uncer_dist,rock_typ_1,rock_typ_2,rock_typ_3,geologic_classes,geologic_types,lithologies,demag,struc_cont,rot_area,polarity,strat_group,ordering,synch_unit,in_study_pole,rej_crit,pmag_ref,age_ref,pmag_comments,age_comments,citations,Study,VGP_lon_recalc,VGP_lat_recalc,inc_reverse,dec_reverse,vgp_lat_SH,vgp_lon_SH,age_uncertainty
TL1,Tequila volcanic field,20.804333,-103.7965,6,358.5,23.3,78.0,7.7,,81.5,86.5,,,,,0.115,0.07900000000000001,,0.151,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352631,Tequila_volcanic_field,85.86509503971887,81.22937316893356,-23.3,178.5,-81.22937316893356,265.8650950397189,0.07199999999999998
TL5,Tequila volcanic field,20.866,-103.84,3,359.7,22.9,56.0,8.8,,81.4,78.5,,,,,0.178,0.16199999999999998,,0.194,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352632,Tequila_volcanic_field,78.04821101582857,81.05544818823805,-22.9,179.7,-81.05544818823805,258.04821101582854,0.03200000000000003
TM3,Tequila volcanic field,20.81,-103.845,6,10.5,26.1,128.0,6.5,,77.9,16.7,,,,,0.191,0.165,,0.217,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352633,Tequila_volcanic_field,19.596810444473206,77.75336880265618,-26.1,190.5,-77.75336880265618,199.5968104444732,0.05199999999999999
TM2,Tequila volcanic field,20.79017,-103.851,5,345.6,41.5,61.0,8.9,,76.2,183.4,,,,,0.196,0.18,,0.21200000000000002,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352634,Tequila_volcanic_field,181.81911198662283,76.33702043039125,-41.5,165.60000000000002,-76.33702043039125,1.8191119866228291,0.03200000000000003
TM1,Tequila volcanic field,20.78967,-103.849,6,12.3,24.7,45.0,9.9,,76.0,17.1,,,,,0.216,0.194,,0.238,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352635,Tequila_volcanic_field,17.893842230694876,75.86967912410454,-24.7,192.3,-75.86967912410454,197.89384223069487,0.043999999999999984
TM6,Tequila volcanic field,20.88383,-103.899,5,11.5,37.3,64.0,9.6,,79.2,342.7,,,,,0.261,0.23900000000000002,,0.28300000000000003,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352636,Tequila_volcanic_field,344.2173173095656,79.25659225003908,-37.3,191.5,-79.25659225003908,164.2173173095656,0.04400000000000001
TM11,Tequila volcanic field,20.685,-103.883,6,356.4,48.1,63.0,8.7,,80.7,236.6,,,,,0.343,0.267,,0.41900000000000004,,normal,igneous,volcanic,basaltic andesite,Igneous:Extrusive,Lava,Basaltic Andesite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352637,Tequila_volcanic_field,235.7130880164729,80.94835124696313,-48.1,176.39999999999998,-80.94835124696313,55.71308801647291,0.15200000000000002
TM10,Tequila volcanic field,20.689,-103.91766666666666,3,290.5,33.3,23.0,14.5,,24.9,177.7,,,,,0.354,0.32399999999999995,,0.384,,normal,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,0,I,0,,0,0,[9],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352638,Tequila_volcanic_field,177.16842238644662,24.92974838840903,-33.3,110.5,-24.92974838840903,357.16842238644665,0.06000000000000005
TM9,Tequila volcanic field,20.829166666666666,-103.99483333333333,9,23.3,5.8,222.0,6.2,,61.3,21.1,,,,,0.362,0.33599999999999997,,0.388,,normal,igneous,volcanic,basaltic andesite,Igneous:Extrusive,Lava,Basaltic Andesite,AF-TH,1,0,I,0,,0,0,[9],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352639,Tequila_volcanic_field,21.213696065516597,61.08669566019097,-5.8,203.3,-61.08669566019097,201.2136960655166,0.052000000000000046
TL2,Tequila volcanic field,20.841,-103.828,6,341.6,20.5,63.0,8.5,,69.7,140.0,,,,,0.416,0.41,,0.422,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,1,0,N,0,,0,1,[],Ceja et al. (2006),Ceja et al. (2006),,,10.1186/BF03352640,Tequila_volcanic_field,138.8780815952964,69.5649237140639,-20.5,161.60000000000002,-69.5649237140639,318.8780815952964,0.01200000000000001
